Item,node,ortho,phono,original,replace,delete_insert,replace_p,delins_p,pos_l50,pos_m50,all_cc,replace_cc,pos_l50_cc,pos_m50_cc,NumSylls,NumPhones,Duration,OrthUP,PhonND,OrthND,FreqSUBTLEX,log_freq,FreqCOCA,FreqCOCAspok,FreqGoogle,PhonUP,NumMorphs
circa,3179,circa,sRkx,1,1,0,1,0,0,1,-1,-1,-1,-1,2,4,419,6,21,1,35,1.556302501,785,22,3475462,5,1
circle,3180,circle,sRkL,5,5,0,1,0,3,2,0.3,0.3,1,0,2,5,492,7,38,2,1097,3.04060234,11180,894,23969393,6,1
circuit,3182,circuit,sRk|t,3,2,1,0.666666667,0.333333333,1,2,0,0,-1,0,2,5,550,8,11,1,340,2.532754379,5681,849,26918881,6,1
circular,3186,circular,sRkyUlX,1,1,0,1,0,1,0,-1,-1,-1,-1,3,7,619,9,2,1,81,1.913813852,2222,78,7991762,8,1
circus,3205,circus,sRk|s,1,1,0,1,0,0,1,-1,-1,-1,-1,2,5,631,7,9,1,870,2.940018155,2220,510,5381242,6,1
citadel,3208,citadel,sIt|dL,1,1,0,1,0,1,0,-1,-1,-1,-1,3,7,718,8,1,0,23,1.380211242,606,62,1552954,8,1
citation,3209,citation,sYteS|n,1,0,1,0,1,1,0,-1,-1,-1,-1,3,7,708,9,4,1,81,1.913813852,818,51,9810893,8,2
cite,3210,cite,sYt,28,24,4,0.857142857,0.142857143,22,6,0.267195767,0.329710145,0.372294372,1,1,3,468,5,91,19,48,1.69019608,1742,255,7047997,4,1
citrus,3215,citrus,sItr|s,1,0,1,0,1,1,0,-1,-1,-1,-1,2,6,519,7,4,1,26,1.431363764,1319,116,3955640,7,1
city,3216,city,sIti,7,6,1,0.857142857,0.142857143,5,2,0.285714286,0.4,0.6,0,2,4,365,5,42,4,8624,3.935759104,110435,20881,390573240,5,1
civic,3218,civic,sIvIk,1,1,0,1,0,1,0,-1,-1,-1,-1,2,5,640,6,9,3,110,2.045322979,4321,274,10286751,6,1
civil,3219,civil,sIvL,7,4,3,0.571428571,0.428571429,3,4,0.19047619,0.5,0.333333333,0.5,2,5,519,6,24,1,813,2.910624405,24939,6213,49496163,6,1
civilian,3220,civilian,sxvIlyxn,1,1,0,1,0,1,0,-1,-1,-1,-1,3,8,600,9,3,1,479,2.681241237,6908,1773,6782491,9,1
civility,3221,civility,sxvIl|ti,1,1,0,1,0,1,0,-1,-1,-1,-1,4,8,642,7,2,0,28,1.462397998,769,185,440289,6,2
clad,3225,clad,kl@d,13,11,2,0.846153846,0.153846154,4,9,0.333333333,0.418181818,0.666666667,0.611111111,1,4,382,5,40,15,10,1.041392685,1638,65,2247938,5,1
claim,3226,claim,klem,8,4,4,0.5,0.5,5,3,0.178571429,0.333333333,0.4,0.333333333,1,4,427,6,33,6,1295,3.112605002,16548,3027,40085342,5,1
clam,3229,clam,kl@m,16,11,5,0.6875,0.3125,4,12,0.241666667,0.4,0.5,0.393939394,1,4,569,5,58,24,200,2.303196057,512,62,1619241,5,1
clammy,3231,clammy,kl@mi,3,2,1,0.666666667,0.333333333,0,3,1,1,-1,1,2,5,437,6,17,2,30,1.491361694,275,8,113729,5,2
clan,3234,clan,kl@n,12,11,1,0.916666667,0.083333333,3,9,0.348484848,0.4,0.333333333,0.611111111,1,4,480,5,49,27,209,2.322219295,2155,130,6798554,5,1
clank,3238,clank,kl@Gk,9,6,3,0.666666667,0.333333333,6,3,0.222222222,0.2,0.4,0.666666667,1,5,446,6,21,12,16,1.230448921,133,2,272419,6,1
clap,3239,clap,kl@p,16,11,5,0.6875,0.3125,4,12,0.241666667,0.418181818,0.666666667,0.378787879,1,4,223,5,38,17,241,2.383815366,574,79,1497714,5,1
clarification,3244,clarification,kl@rxfxkeS|n,1,1,0,1,0,1,0,-1,-1,-1,-1,5,12,731,14,0,2,30,1.491361694,755,127,3741132,7,1
clarity,3248,clarity,kl@rxti,1,0,1,0,1,0,1,-1,-1,-1,-1,3,7,520,7,1,3,107,2.033423755,3056,273,7198788,6,1
clash,3249,clash,kl@S,14,12,2,0.857142857,0.142857143,6,8,0.318681319,0.363636364,0.533333333,0.75,1,4,445,6,33,7,68,1.838849091,1656,267,3531401,5,1
class,3251,class,kl@s,12,10,2,0.833333333,0.166666667,3,9,0.348484848,0.466666667,0.333333333,0.611111111,1,4,469,6,49,20,5985,3.777136713,52264,7136,191106038,5,1
classic,3252,classic,kl@sIk,1,0,1,0,1,0,1,-1,-1,-1,-1,2,6,496,8,7,1,824,2.916453949,11622,1406,59964382,7,2
classical,3253,classical,kl@sIkL,2,1,1,0.5,0.5,1,1,0,-1,-1,-1,3,8,516,10,1,0,224,2.352182518,5135,475,33959138,7,3
clause,3259,clause,klcz,4,2,2,0.5,0.5,1,3,0.166666667,0,-1,0.333333333,1,4,639,7,35,11,143,2.158362492,2642,288,13906621,5,1
clavicle,3262,clavicle,kl@vIkL,1,1,0,1,0,1,0,-1,-1,-1,-1,3,8,609,7,1,0,50,1.707570176,96,7,100689,7,NA
claw,3264,claw,klc,9,5,4,0.555555556,0.444444444,3,6,0.222222222,0.4,1,0.266666667,1,3,388,5,37,16,223,2.350248018,885,43,1889661,4,1
clay,3265,clay,kle,10,7,3,0.7,0.3,6,4,0.311111111,0.428571429,0.733333333,0.5,1,3,318,5,55,19,612,2.787460475,5733,427,13359113,4,1
clean,3266,clean,klin,11,8,3,0.727272727,0.272727273,6,5,0.163636364,0.178571429,0.333333333,0.4,1,4,374,6,67,11,6183,3.791269481,21825,3760,45385208,5,1
clear,3269,clear,klIr,9,8,1,0.888888889,0.111111111,5,4,0.277777778,0.285714286,0.4,1,1,4,431,6,38,11,8763,3.942702369,51346,12859,88453565,5,1
cleat,3273,cleat,klit,11,10,1,0.909090909,0.090909091,6,5,0.345454545,0.311111111,1,0.4,1,4,367,6,39,8,22,1.361727836,190,2,371970,5,1
cleave,3275,cleave,kliv,6,5,1,0.833333333,0.166666667,2,4,0.266666667,0.3,1,0.5,1,4,455,7,27,6,10,1.041392685,101,7,413105,5,1
clench,3280,clench,klEnC,4,4,0,1,0,3,1,0,0,0,-1,1,5,529,7,11,2,20,1.322219295,183,6,97203,6,1
cleric,3282,cleric,klErIk,1,0,1,0,1,0,1,-1,-1,-1,-1,2,6,559,7,6,2,68,1.838849091,621,179,969331,7,1
clerical,3283,clerical,klErIkL,1,0,1,0,1,0,1,-1,-1,-1,-1,3,8,598,7,1,0,50,1.707570176,825,67,3586609,6,2
clerk,3284,clerk,klRk,8,7,1,0.875,0.125,2,6,0.535714286,0.714285714,0,1,1,4,395,6,25,5,658,2.818885415,2869,444,11924752,5,1
clever,3285,clever,klEvX,2,1,1,0.5,0.5,2,0,0,-1,0,-1,2,5,393,7,13,8,1391,3.143639235,3083,402,4865717,6,1
click,3288,click,klIk,19,14,5,0.736842105,0.263157895,8,11,0.175438596,0.252747253,0.285714286,0.4,1,4,352,6,67,16,327,2.515873844,4675,804,536761994,5,1
client,3289,client,klY|nt,1,1,0,1,0,1,0,-1,-1,-1,-1,2,6,425,7,8,3,2715,3.433929766,10729,1557,69195184,7,1
cliff,3291,cliff,klIf,5,5,0,1,0,0,5,0.6,0.6,-1,0.6,1,4,422,6,31,10,1100,3.041787319,3549,489,5900708,5,1
climactic,3292,climactic,klYm@ktIk,1,0,1,0,1,0,1,-1,-1,-1,-1,3,9,622,7,1,1,11,1.079181246,266,21,239178,7,1
climatic,3294,climatic,klYm@tIk,1,0,1,0,1,0,1,-1,-1,-1,-1,3,8,633,7,1,1,7,0.903089987,573,20,1559502,6,2
climb,3296,climb,klYm,5,4,1,0.8,0.2,3,2,0.2,0.166666667,0.333333333,1,1,4,394,6,39,3,1007,3.003460532,6010,612,5699767,5,1
clinch,3297,clinch,klInC,3,2,1,0.666666667,0.333333333,3,0,0.333333333,0,0.333333333,-1,1,5,371,7,14,5,34,1.544068044,397,50,578103,6,1
cling,3298,cling,klIG,14,8,6,0.571428571,0.428571429,7,7,0.164835165,0.285714286,0.333333333,0.380952381,1,4,342,6,57,13,128,2.11058971,878,132,946281,5,1
clinic,3299,clinic,klInIk,1,0,1,0,1,0,1,-1,-1,-1,-1,2,6,400,7,7,2,714,2.854306042,6312,1122,15188681,7,1
clinical,3300,clinical,klInIkL,1,0,1,0,1,0,1,-1,-1,-1,-1,3,8,427,9,1,0,149,2.176091259,10172,709,42952429,5,2
clip,3303,clip,klIp,11,9,2,0.818181818,0.181818182,5,6,0.218181818,0.222222222,0.5,0.466666667,1,4,333,5,34,11,290,2.463892989,9267,7443,31268599,5,1
clique,3305,clique,klik,13,12,1,0.923076923,0.076923077,4,9,0.269230769,0.287878788,0.5,0.5,1,4,351,7,40,1,39,1.602059991,240,32,836149,4,1
cloak,3306,cloak,klok,13,12,1,0.923076923,0.076923077,2,11,0.333333333,0.378787879,1,0.454545455,1,4,459,6,39,2,153,2.187520721,1190,55,1450297,5,1
clock,3308,clock,klak,15,13,2,0.866666667,0.133333333,5,10,0.247619048,0.282051282,0.5,0.466666667,1,4,407,6,61,14,2990,3.475816413,10918,1884,26632748,5,1
clog,3310,clog,klag,6,5,1,0.833333333,0.166666667,2,4,0.4,0.6,0,1,1,4,469,5,24,13,41,1.62324929,336,43,791336,5,1
close,3314,close,klos,6,6,0,1,0,0,6,0.666666667,0.666666667,-1,0.666666667,1,4,464,6,57,19,11191,4.048907701,58749,13298,107859307,5,1
closure,3317,closure,kloZX,3,3,0,1,0,1,2,0.333333333,0.333333333,-1,1,2,5,456,8,9,3,158,2.201397124,2110,388,8208148,6,1
clot,3318,clot,klat,12,10,2,0.833333333,0.166666667,6,6,0.272727273,0.288888889,0.733333333,0.466666667,1,4,454,5,44,18,92,1.968482949,403,87,531650,5,1
cloth,3319,cloth,klcT,3,2,1,0.666666667,0.333333333,1,2,0.333333333,0,-1,1,1,4,459,6,19,8,311,2.494154594,5095,171,9764604,5,1
clothing,3323,clothing,kloDIG,1,0,1,0,1,1,0,-1,-1,-1,-1,2,6,559,7,3,1,553,2.743509765,7901,1020,72457184,5,2
cloud,3325,cloud,klWd,7,6,1,0.857142857,0.142857143,3,4,0.142857143,0.133333333,0.333333333,0.333333333,1,4,447,6,26,8,599,2.77815125,6279,665,11340427,5,1
clout,3326,clout,klWt,7,6,1,0.857142857,0.142857143,3,4,0.142857143,0.133333333,0.333333333,0.333333333,1,4,609,6,25,6,48,1.69019608,1266,275,639706,5,1
clove,3327,clove,klov,8,6,2,0.75,0.25,1,7,0.357142857,0.666666667,-1,0.476190476,1,4,482,6,23,14,26,1.431363764,846,16,699197,5,1
clown,3330,clown,klWn,5,5,0,1,0,1,4,0.2,0.2,-1,0.333333333,1,4,453,6,27,6,807,2.907411361,1242,167,3090988,5,1
club,3332,club,kl^b,4,3,1,0.75,0.25,1,3,0.5,1,-1,1,1,4,299,5,18,7,5038,3.702344358,22834,2547,132442807,5,1
cluck,3333,cluck,kl^k,11,10,1,0.909090909,0.090909091,2,9,0.345454545,0.4,1,0.5,1,4,382,6,45,11,73,1.86923172,108,7,134048,5,1
clump,3334,clump,kl^mp,4,3,1,0.75,0.25,4,0,0.5,0.333333333,0.5,-1,1,5,379,6,13,10,27,1.447158031,586,11,345355,6,1
clung,3336,clung,kl^G,8,7,1,0.875,0.125,3,5,0.25,0.238095238,1,0.4,1,4,442,5,23,9,24,1.397940009,1146,37,371586,5,1
cluster,3337,cluster,kl^stX,5,3,2,0.6,0.4,4,1,0.3,0.333333333,0.5,-1,2,6,453,8,13,6,67,1.832508913,4106,178,14678600,7,1
clutch,3338,clutch,kl^C,4,4,0,1,0,1,3,0.5,0.5,-1,1,1,4,688,7,18,1,127,2.10720997,1413,95,4249235,5,1
clutter,3339,clutter,kl^tX,4,2,2,0.5,0.5,3,1,0,0,0,-1,2,5,455,8,15,5,48,1.69019608,864,82,3650519,6,1
coach,3340,coach,koC,14,14,0,1,0,5,9,0.43956044,0.43956044,0.4,1,1,3,421,6,71,5,2429,3.385606274,23042,1857,24517183,4,1
coal,3343,coal,kol,35,32,3,0.914285714,0.085714286,23,12,0.282352941,0.328629032,0.501976285,0.621212121,1,3,517,5,182,21,335,2.526339277,5822,850,11627311,4,1
coarse,3348,coarse,kors,16,12,4,0.75,0.25,5,11,0.225,0.318181818,1,0.309090909,1,4,414,7,85,5,69,1.84509804,1431,39,2768915,5,1
coast,3350,coast,kost,12,11,1,0.916666667,0.083333333,9,3,0.378787879,0.418181818,0.611111111,1,1,4,508,6,51,10,1361,3.134177108,17429,4271,47718553,5,1
coat,3352,coat,kot,31,26,5,0.838709677,0.161290323,19,12,0.24516129,0.307692308,0.426900585,0.621212121,1,3,333,5,114,26,2146,3.331832044,9353,609,12207989,4,1
cobalt,3357,cobalt,kobclt,1,1,0,1,0,0,1,-1,-1,-1,-1,2,6,484,5,2,1,30,1.491361694,598,16,2642969,6,1
cock,3367,cock,kak,30,24,6,0.8,0.2,18,12,0.227586207,0.336956522,0.444444444,0.46969697,1,3,419,5,161,23,580,2.764176132,722,34,37575461,4,1
cockle,3375,cockle,kakL,6,5,1,0.833333333,0.166666667,1,5,0.266666667,0.2,-1,0.4,2,5,374,7,34,4,4,0.698970004,19,0,129341,6,1
cockney,3376,cockney,kakni,1,0,1,0,1,0,1,-1,-1,-1,-1,2,5,413,5,12,4,18,1.278753601,112,17,233845,4,NA
cocky,3377,cocky,kaki,11,9,2,0.818181818,0.181818182,5,6,0.145454545,0.166666667,0.4,0.266666667,2,4,391,5,62,6,210,2.324282455,472,63,364425,5,2
cod,3381,cod,kad,27,22,5,0.814814815,0.185185185,17,10,0.233618234,0.307359307,0.389705882,0.644444444,1,3,375,4,100,40,114,2.06069784,1378,174,10428610,4,1
code,3384,code,kod,28,23,5,0.821428571,0.178571429,16,12,0.238095238,0.312252964,0.425,0.590909091,1,3,374,5,105,33,2709,3.432969291,12359,2018,250250908,4,1
coequal,3395,coequal,koikwL,1,0,1,0,1,0,1,-1,-1,-1,-1,3,7,528,4,0,0,0,0,20,6,19890,4,2
coerce,3398,coerce,koRs,3,2,1,0.666666667,0.333333333,1,2,0.333333333,1,-1,1,2,4,622,7,14,1,21,1.342422681,239,41,350982,5,1
coffee,3402,coffee,kcfi,2,1,1,0.5,0.5,0,2,1,-1,-1,1,2,4,404,7,33,8,7371,3.867585327,17128,1589,42090859,5,1
coffer,3403,coffer,kcfX,3,1,2,0.333333333,0.666666667,1,2,0.333333333,-1,-1,1,2,4,454,7,28,12,5,0.77815125,37,4,96057,5,1
coffin,3404,coffin,kcfxn,3,2,1,0.666666667,0.333333333,3,0,1,1,1,-1,2,5,491,7,8,4,461,2.664641976,1946,241,1662468,6,1
cog,3405,cog,kag,12,11,1,0.916666667,0.083333333,4,8,0.439393939,0.527272727,0.166666667,1,1,3,417,4,42,35,27,1.447158031,233,17,1066034,4,1
coil,3423,coil,kOl,18,16,2,0.888888889,0.111111111,15,3,0.352941176,0.391666667,0.485714286,1,1,3,380,5,82,19,82,1.919078092,676,30,5001819,4,1
coin,3424,coin,kOn,14,13,1,0.928571429,0.071428571,11,3,0.43956044,0.487179487,0.672727273,1,1,3,339,5,87,20,497,2.697229343,2093,305,10097574,4,2
coincidence,3426,coincidence,koIns|d|ns,1,1,0,1,0,0,1,-1,-1,-1,-1,4,10,656,12,0,1,948,2.977266212,2083,461,1860675,8,2
cola,3430,cola,kolx,9,7,2,0.777777778,0.222222222,3,6,0.194444444,0.238095238,0.333333333,0.4,2,4,442,5,86,38,282,2.451786436,1960,242,4541953,5,1
cold,3432,cold,kold,15,11,4,0.733333333,0.266666667,10,5,0.4,0.527272727,0.822222222,0.5,1,4,408,5,76,29,6638,3.822102669,33636,4763,40844411,5,1
colic,3434,colic,kalIk,6,5,1,0.833333333,0.166666667,5,1,0.133333333,0.1,0.2,-1,2,5,449,6,39,10,26,1.431363764,124,26,482850,5,1
collaborate,3436,collaborate,kxl@bXet,1,0,1,0,1,1,0,-1,-1,-1,-1,4,8,644,12,1,2,31,1.505149978,1071,74,2564383,9,1
collapse,3438,collapse,kxl@ps,1,0,1,0,1,1,0,-1,-1,-1,-1,2,6,659,9,2,2,283,2.45331834,6218,1177,8393295,7,1
collate,3440,collate,kolet,1,0,1,0,1,0,1,-1,-1,-1,-1,2,5,485,8,5,3,16,1.230448921,23,4,319919,5,1
collect,3444,collect,kxlEkt,3,2,1,0.666666667,0.333333333,3,0,0.333333333,0,0.333333333,-1,2,6,581,8,5,3,1020,3.009025742,5898,878,15943314,7,1
collective,3446,collective,kxlEktIv,1,0,1,0,1,1,0,-1,-1,-1,-1,3,8,738,11,4,1,122,2.089905111,7178,630,12279562,9,2
college,3448,college,kalIJ,3,3,0,1,0,2,1,0,0,0,-1,2,5,516,8,17,3,4344,3.637989781,59669,7430,182550807,6,1
collegiate,3450,collegiate,kxliJ|t,1,1,0,1,0,0,1,-1,-1,-1,-1,3,7,545,9,0,0,25,1.414973348,1217,86,3416336,6,1
collie,3452,collie,kali,12,10,2,0.833333333,0.166666667,6,6,0.196969697,0.266666667,0.666666667,0.2,2,4,441,7,143,19,53,1.73239376,236,16,1191722,5,1
collusion,3461,collusion,kxluZ|n,1,1,0,1,0,1,0,-1,-1,-1,-1,3,7,562,8,4,1,15,1.204119983,358,51,558087,5,1
cologne,3462,cologne,kxlon,1,0,1,0,1,1,0,-1,-1,-1,-1,2,5,417,5,12,0,161,2.209515015,626,62,5078538,6,1
colonel,3464,colonel,kRnL,5,5,0,1,0,3,2,0.2,0.2,0.333333333,1,2,5,375,8,32,1,4909,3.691081492,4579,1493,4118477,6,1
colonist,3466,colonist,kalxn|st,1,0,1,0,1,0,1,-1,-1,-1,-1,3,8,551,9,1,1,3,0.602059991,92,4,181543,9,3
color,3471,color,k^lX,8,4,4,0.5,0.5,2,6,0.071428571,0.166666667,0,0.133333333,2,4,386,6,78,7,2011,3.303627976,44922,2923,112974969,5,1
colored,3474,colored,k^lXd,4,3,1,0.75,0.25,3,1,0,0,0,-1,2,5,392,8,15,2,377,2.5774918,7759,365,10189750,5,2
column,3481,column,kalM,2,2,0,1,0,0,2,1,1,-1,1,2,5,380,7,28,1,559,2.748188027,7464,1245,35987108,6,1
columnist,3483,columnist,kalxmn|st,1,0,1,0,1,0,1,-1,-1,-1,-1,3,9,545,10,1,1,51,1.716003344,3912,1965,3300471,10,2
coma,3484,coma,komx,6,5,1,0.833333333,0.166666667,1,5,0.266666667,0.3,-1,0.4,2,4,323,5,54,36,626,2.797267541,1026,235,1616513,5,2
comb,3485,comb,kom,24,20,4,0.833333333,0.166666667,13,11,0.260869565,0.331578947,0.448717949,0.672727273,1,3,469,5,106,17,309,2.491361694,1057,103,2329108,4,1
combat,3486,combat,kamb@t,1,1,0,1,0,1,0,-1,-1,-1,-1,2,6,431,7,4,4,706,2.849419414,8136,2275,14972690,7,1
combination,3490,combination,kamb|neS|n,1,1,0,1,0,1,0,-1,-1,-1,-1,4,10,588,12,1,1,611,2.786751422,10509,1260,28248459,11,2
combo,3493,combo,kambo,1,1,0,1,0,1,0,-1,-1,-1,-1,2,5,500,5,7,10,125,2.100370545,728,47,10594360,5,NA
come,3495,come,k^m,22,20,2,0.909090909,0.090909091,16,6,0.294372294,0.347368421,0.441666667,1,1,3,376,5,101,32,160190,5.204638112,168892,61354,154346337,4,1
comeback,3496,comeback,k^mb@k,1,1,0,1,0,1,0,-1,-1,-1,-1,2,6,534,9,4,1,170,2.23299611,1882,526,1855190,7,1
comedy,3499,comedy,kamxdi,1,1,0,1,0,0,1,-1,-1,-1,-1,3,6,501,7,3,1,602,2.780317312,5740,1399,22994845,7,1
comet,3502,comet,kamxt,4,2,2,0.5,0.5,1,3,0.166666667,0,-1,0.333333333,2,5,482,6,14,7,157,2.198657087,1913,156,3125758,6,2
comfort,3505,comfort,k^mfXt,2,1,1,0.5,0.5,0,2,0,-1,-1,0,2,6,432,8,2,2,878,2.943988875,8280,1010,27922133,7,1
comic,3508,comic,kamIk,3,2,1,0.666666667,0.333333333,3,0,0.333333333,1,0.333333333,-1,2,5,393,6,14,8,552,2.742725131,3603,656,16697874,6,1
coming,3509,coming,k^mIG,2,2,0,1,0,2,0,1,1,1,-1,2,5,314,7,19,11,26878,4.429413107,68719,32442,69892089,6,2
command,3512,command,kxm@nd,4,2,2,0.5,0.5,1,3,0.166666667,0,-1,0.333333333,2,6,497,8,5,3,2225,3.34752516,9526,1772,59871929,7,1
commander,3515,commander,kxm@ndX,2,1,1,0.5,0.5,0,2,1,-1,-1,1,3,7,569,10,6,4,1887,3.27600199,7127,2262,10044607,8,2
commando,3517,commando,kxm@ndo,2,1,1,0.5,0.5,0,2,1,-1,-1,1,3,7,678,9,5,3,54,1.740362689,330,59,1354026,8,1
commendation,3521,commendation,kamxndeS|n,1,0,1,0,1,0,1,-1,-1,-1,-1,4,10,747,9,0,0,46,1.672097858,152,16,431651,7,2
commission,3534,commission,kxmIS|n,1,1,0,1,0,1,0,-1,-1,-1,-1,3,7,515,11,6,3,703,2.847572659,17160,3410,78818439,8,1
commit,3535,commit,kxmIt,1,0,1,0,1,0,1,-1,-1,-1,-1,2,5,497,7,17,2,984,2.99343623,4554,1619,17299863,6,1
committee,3536,committee,kxmIti,1,0,1,0,1,0,1,-1,-1,-1,-1,3,6,549,10,8,4,1123,3.050766311,29490,9260,121347358,7,1
common,3539,common,kamxn,3,1,2,0.333333333,0.666666667,1,2,0.333333333,-1,-1,1,2,5,367,7,61,2,2275,3.357172258,39834,4956,107843433,6,1
commotion,3541,commotion,kxmoS|n,1,1,0,1,0,1,0,-1,-1,-1,-1,3,7,492,6,2,0,106,2.029383778,681,76,619971,5,1
commute,3553,commute,kxmyut,1,0,1,0,1,0,1,-1,-1,-1,-1,2,6,413,8,4,6,45,1.662757832,1042,140,1754751,7,1
compare,3559,compare,kxmpEr,1,1,0,1,0,0,1,-1,-1,-1,-1,2,6,561,8,3,3,426,2.630427875,6539,1203,183204396,7,1
compass,3560,compass,k^mpxs,2,2,0,1,0,2,0,0,0,0,-1,2,6,569,8,3,1,207,2.318063335,1391,139,4585829,6,1
compete,3570,compete,kxmpit,1,0,1,0,1,0,1,-1,-1,-1,-1,2,6,408,8,2,5,432,2.636487896,6385,1208,9246854,7,1
competition,3572,competition,kampxtIS|n,1,1,0,1,0,0,1,-1,-1,-1,-1,4,10,719,12,3,1,1066,3.028164419,16961,2210,38886967,11,2
compile,3576,compile,kxmpYl,1,1,0,1,0,0,1,-1,-1,-1,-1,2,6,555,8,5,3,27,1.447158031,400,36,8493988,7,1
complacence,3578,complacence,k^mplesNs,1,1,0,1,0,1,0,-1,-1,-1,-1,3,10,654,11,3,1,0,0,9,1,11639,11,1
complete,3583,complete,kxmplit,1,0,1,0,1,0,1,-1,-1,-1,-1,2,7,457,9,2,4,2636,3.42111013,23661,3034,149315377,8,1
composite,3595,composite,kxmpaz|t,1,0,1,0,1,0,1,-1,-1,-1,-1,3,8,559,10,3,2,64,1.812913357,2455,385,9492059,9,1
composition,3596,composition,kampxzIS|n,1,1,0,1,0,0,1,-1,-1,-1,-1,4,10,679,12,2,1,124,2.096910013,5593,201,15941438,11,2
compost,3598,compost,kampost,1,0,1,0,1,0,1,-1,-1,-1,-1,2,7,614,8,1,2,28,1.462397998,2378,21,1772210,8,1
computer,3611,computer,kxmpyutX,1,0,1,0,1,0,1,-1,-1,-1,-1,3,8,450,9,6,6,3011,3.478854968,32318,4138,224190650,9,2
conceal,3617,conceal,kxnsil,4,4,0,1,0,0,4,0.5,0.5,-1,0.5,2,6,604,8,8,2,129,2.113943352,1199,166,1122483,7,1
concede,3618,concede,kxnsid,3,3,0,1,0,0,3,1,1,-1,1,2,6,637,8,6,2,53,1.73239376,1241,391,731182,7,1
conceive,3620,conceive,kxnsiv,4,4,0,1,0,0,4,0.5,0.5,-1,0.5,2,6,725,9,6,2,117,2.071882007,975,130,1280874,7,1
conception,3625,conception,kxnsEpS|n,1,0,1,0,1,0,1,-1,-1,-1,-1,3,9,655,11,2,2,106,2.029383778,2644,176,3663294,10,1
concern,3627,concern,kxnsRn,2,2,0,1,0,0,2,0,0,-1,0,2,6,557,8,7,3,1332,3.124830149,22352,5288,24611878,7,1
concession,3633,concession,kxnsES|n,1,0,1,0,1,0,1,-1,-1,-1,-1,3,8,589,11,3,3,69,1.84509804,1108,215,2202890,9,1
conch,3634,conch,kaGk,4,1,3,0.25,0.75,1,3,0.166666667,-1,-1,0.333333333,1,4,428,6,29,6,20,1.322219295,315,22,379190,5,1
condemn,3655,condemn,kxndEm,1,1,0,1,0,0,1,-1,-1,-1,-1,2,6,445,8,2,1,121,2.086359831,1214,406,1457478,7,1
condenser,3660,condenser,kxndEnsX,1,0,1,0,1,0,1,-1,-1,-1,-1,3,8,600,9,2,2,7,0.903089987,98,1,1302457,8,2
condone,3669,condone,kxndon,2,2,0,1,0,0,2,0,0,-1,0,2,6,728,8,2,4,59,1.77815125,427,182,513678,7,1
cone,3677,cone,kon,35,30,5,0.857142857,0.142857143,24,11,0.257142857,0.317241379,0.420289855,0.672727273,1,3,509,5,165,47,149,2.176091259,1561,125,4434449,4,1
confection,3681,confection,kxnfEkS|n,1,1,0,1,0,1,0,-1,-1,-1,-1,3,9,686,11,5,3,9,1,161,7,148960,10,2
confess,3687,confess,kxnfEs,1,0,1,0,1,0,1,-1,-1,-1,-1,2,6,625,8,3,1,808,2.907948522,1501,377,1851099,7,1
confessor,3688,confessor,kxnfEsX,1,0,1,0,1,0,1,-1,-1,-1,-1,3,7,556,8,2,0,12,1.113943352,187,7,215121,7,2
confine,3695,confine,kxnfYn,3,3,0,1,0,0,3,0.333333333,0.333333333,-1,0.333333333,2,6,664,8,4,4,50,1.707570176,373,37,580746,7,1
confirm,3696,confirm,kxnfRm,1,0,1,0,1,0,1,-1,-1,-1,-1,2,6,609,8,5,2,736,2.867467488,3786,851,22651956,7,1
confuse,3711,confuse,kxnfyuz,1,1,0,1,0,0,1,-1,-1,-1,-1,2,7,682,8,1,2,243,2.387389826,990,172,1595533,8,1
conic,3731,conic,kanIk,6,5,1,0.833333333,0.166666667,6,0,0.266666667,0.4,0.266666667,-1,2,5,420,6,22,12,3,0.602059991,37,1,224114,6,2
conjure,3742,conjure,kanJX,2,1,1,0.5,0.5,0,2,0,-1,-1,0,2,5,543,8,10,2,64,1.812913357,584,43,422440,6,1
connect,3743,connect,kxnEkt,1,1,0,1,0,1,0,-1,-1,-1,-1,2,6,375,8,5,3,492,2.692846919,4960,799,45140204,7,1
conquer,3751,conquer,kaGkX,3,2,1,0.666666667,0.333333333,1,2,0.333333333,0,-1,1,2,5,527,8,13,1,254,2.40654018,970,120,2280435,6,1
conscience,3755,conscience,kanC|ns,1,0,1,0,1,0,1,-1,-1,-1,-1,2,7,659,11,1,1,709,2.851258349,3023,617,3577738,6,1
conscious,3757,conscious,kanC|s,2,1,1,0.5,0.5,0,2,0,-1,-1,0,2,6,512,10,2,0,347,2.541579244,6015,741,6037028,7,1
consent,3764,consent,kxnsEnt,1,1,0,1,0,1,0,-1,-1,-1,-1,2,7,698,8,2,5,379,2.579783597,4407,664,20943616,8,1
conserve,3771,conserve,kxnsRv,2,2,0,1,0,0,2,0,0,-1,0,2,6,610,9,4,1,44,1.653212514,931,88,1607331,7,1
construct,3802,construct,kxnstr^kt,1,1,0,1,0,0,1,-1,-1,-1,-1,2,9,583,10,4,3,74,1.875061263,4592,156,8472340,10,1
contact,3813,contact,kant@kt,1,0,1,0,1,0,1,-1,-1,-1,-1,2,7,568,8,4,6,3305,3.519302849,20254,2675,645837580,8,1
contend,3826,contend,kxntEnd,1,1,0,1,0,0,1,-1,-1,-1,-1,2,7,688,8,5,4,48,1.69019608,2244,183,1561719,8,1
