lower,idx,ortho,phono,all,replace,delete_insert,pos_l50,pos_m50,Item,NumSylls,NumPhones,Duration,OrthUP,PhonND,OrthND,FreqSUBTLEX,FreqCOCA,FreqCOCAspok,FreqGoogle,PhonUP,NumMorphs
chuck,3149,chuck,C^k,20,17,3,14,6,chuck,1,3,381,6,55,9,1096,4081,1506,9576652,4,1
duck,5327,duck,d^k,25,22,3,13,12,duck,1,3,445,5,98,29,1263,3639,615,8287612,4,1
tap,16980,tap,t@p,26,23,3,17,9,tap,1,3,349,4,81,43,752,4562,531,8780413,4,1
phony,12907,phony,foni,8,6,2,5,3,phony,2,4,474,5,48,4,421,1214,521,768812,5,1
matter,10558,matter,m@tX,16,13,3,13,3,matter,2,4,391,7,63,31,18900,51357,13525,66637256,5,1
wove,19186,wove,wov,12,11,1,8,4,wove,1,3,430,5,24,15,12,341,10,198353,4,1
handy,7630,handy,h@ndi,6,5,1,4,2,handy,2,5,476,6,46,26,623,2229,166,7938926,6,2
cleave,3275,cleave,kliv,6,5,1,2,4,cleave,1,4,455,7,27,6,10,101,7,413105,5,1
voiced,18672,voiced,vOst,8,7,1,7,1,voiced,1,4,493,6,16,4,18,1526,168,1498292,4,2
source,16026,source,sors,8,7,1,5,3,source,1,4,493,7,37,2,1437,23969,2620,179974540,5,1
draw,5256,draw,drc,6,3,3,1,5,draw,1,3,368,5,30,13,2061,12733,2105,22706359,4,1
joss,9368,joss,Jas,8,7,1,2,6,joss,1,3,484,5,44,31,20,250,37,1170742,4,1
peril,12737,peril,pErL,7,5,2,2,5,peril,2,5,330,6,67,6,98,1101,172,1258951,6,1
cut,4351,cut,k^t,25,23,2,17,8,cut,1,3,315,4,105,27,11718,56677,11630,61343865,4,1
sob,15920,sob,sab,18,16,2,13,5,sob,1,3,549,4,65,32,77,513,54,800059,4,1
swine,16823,swine,swYn,10,8,2,6,4,swine,1,4,668,6,26,16,226,786,288,1579187,5,1
quart,14071,quart,kwort,9,3,6,4,5,quart,1,5,539,6,16,7,106,1328,23,2002490,6,1
patriarch,12547,patriarch,petriark,2,1,1,1,1,patriarch,3,8,649,10,4,4,16,732,68,780160,9,1
plump,13174,plump,pl^mp,6,3,3,4,2,plump,1,5,367,6,18,10,75,1073,32,3386553,6,1
trout,17775,trout,trWt,8,6,2,3,5,trout,1,4,366,6,28,15,205,3079,67,5371003,5,1
crunch,4255,crunch,kr^nC,2,1,1,1,1,crunch,1,5,353,7,6,4,179,1798,331,1794967,6,1
coo,3913,coo,ku,31,24,7,19,12,coo,1,2,237,4,193,51,35,347,36,1167246,3,1
shine,15574,shine,SYn,21,17,4,17,4,shine,1,3,503,6,85,26,1053,2573,296,5890894,4,1
forge,6690,forge,forJ,9,8,1,1,8,forge,1,4,494,6,44,26,166,1340,133,5226805,5,1
still,16370,still,stIl,17,14,3,5,12,still,1,4,549,6,49,18,40225,195162,47989,190450277,5,1
cloth,3319,cloth,klcT,3,2,1,1,2,cloth,1,4,459,6,19,8,311,5095,171,9764604,5,1
coma,3484,coma,komx,6,5,1,1,5,coma,2,4,323,5,54,36,626,1026,235,1616513,5,2
world,19168,world,wRld,5,4,1,4,1,world,1,4,460,6,35,5,23216,193305,43143,431966449,5,1
shrine,15626,shrine,SrYn,5,4,1,3,2,shrine,1,4,619,7,24,7,151,1565,175,2302579,5,1
purge,13978,purge,pRJ,14,10,4,7,7,purge,1,3,437,6,43,9,82,504,66,1367409,4,1
spell,16096,spell,spEl,9,8,1,3,6,spell,1,4,468,6,31,12,1869,3139,476,8508070,5,1
tin,17376,tin,tIn,30,25,5,21,9,tin,1,3,345,4,109,42,441,2544,198,10703096,4,1
froze,6841,froze,froz,7,4,3,2,5,froze,1,4,458,6,62,3,216,1447,104,599030,5,1
dot,5203,dot,dat,26,24,2,19,7,dot,1,3,295,4,90,40,338,2996,443,26595890,4,1
tennis,17121,tennis,tEn|s,4,3,1,1,3,tennis,2,5,472,7,13,5,695,6047,896,26272328,6,1
present,13579,present,prEzNt,3,2,1,2,1,present,2,7,434,8,5,7,4562,38673,3757,99421445,8,2
mountain,11203,mountain,mWntN,2,1,1,1,1,mountain,2,6,507,9,7,2,1805,19965,1722,54172908,7,1
plot,13160,plot,plat,12,10,2,6,6,plot,1,4,389,5,37,17,591,5877,1293,18685607,5,1
slicker,15808,slicker,slIkX,7,5,2,3,4,slicker,2,5,526,8,25,13,42,206,22,212619,6,2
fair,6177,fair,fEr,28,22,6,20,8,fair,1,3,444,5,134,19,4832,21205,7057,49512893,4,1
rosy,14927,rosy,rozi,7,4,3,5,2,rosy,2,4,497,4,55,19,169,912,128,836269,5,1
fire,6446,fire,fYr,22,18,4,15,7,fire,2,3,482,5,100,34,10990,39024,9686,83858423,4,1
fennel,6331,fennel,fEnL,8,7,1,3,5,fennel,2,5,470,7,26,8,39,1060,39,534724,6,1
told,17445,told,told,11,8,3,9,2,told,1,4,446,5,43,19,35679,100473,25767,57250931,5,1
cap,2571,cap,k@p,30,28,2,19,11,cap,1,3,409,4,117,47,956,8620,1254,25442468,4,1
tenant,17108,tenant,tEn|nt,3,1,2,1,2,tenant,2,6,412,7,5,2,155,1422,88,6841635,7,1
lens,9818,lens,lEnz,4,3,1,2,2,lens,1,4,433,5,88,42,238,3813,296,22745130,5,1
pull,13929,pull,pUl,16,15,1,12,4,pull,1,3,288,5,55,22,7469,17128,3784,19062074,4,1
scythe,15316,scythe,sYD,11,10,1,5,6,scythe,1,3,435,6,40,1,16,159,0,241758,3,1
muggy,11236,muggy,m^gi,4,3,1,1,3,muggy,2,4,388,5,33,3,5,171,14,83634,5,2
to,17420,to,tu,31,22,9,18,13,to,1,2,419,3,164,59,1156570,6513027,1581706,12136980858,3,1
bane,1498,bane,ben,32,28,4,23,9,bane,1,3,449,5,174,47,94,336,12,737796,4,1
flunk,6587,flunk,fl^Gk,6,3,3,4,2,flunk,1,5,335,6,14,10,92,81,22,81741,6,1
just,9426,just,J^st,12,10,2,11,1,just,1,4,419,5,31,22,242206,453049,189841,462869224,5,1
mow,11218,mow,mW,20,17,3,10,10,mow,1,2,366,4,151,40,117,384,58,518340,3,1
stank,16282,stank,st@Gk,7,4,3,6,1,stank,1,5,565,6,15,19,39,179,5,105369,6,1
bit,1866,bit,bIt,35,30,5,25,10,bit,1,3,467,4,108,40,11987,47714,21135,82122088,4,1
honey,7990,honey,h^ni,9,8,1,5,4,honey,2,4,305,6,57,29,15325,7288,1030,9983411,5,1
rap,14227,rap,r@p,31,26,5,18,13,rap,1,3,326,4,104,52,665,3338,843,10739454,4,1
twin,17891,twin,twIn,9,6,3,2,7,twin,1,4,390,5,32,12,532,5111,664,20152862,5,1
rely,14538,rely,rIlY,3,1,2,1,2,rely,2,4,433,5,20,14,366,6201,878,9132959,5,1
gust,7522,gust,g^st,11,8,3,8,3,gust,1,4,447,5,38,28,24,445,42,1012909,5,1
pious,13034,pious,pYxs,2,1,1,1,1,pious,2,4,524,6,19,3,48,610,30,713689,5,1
learned,9752,learned,lRnd,4,3,1,3,1,learned,1,4,455,7,27,5,2964,29847,6176,23121323,4,2
loan,10049,loan,lon,34,28,6,23,11,loan,1,3,412,5,143,26,1013,8144,2015,87786035,4,1
park,12435,park,park,18,12,6,9,9,park,1,4,369,5,52,29,3678,42050,3560,141555213,5,1
pat,12525,pat,p@t,39,30,9,24,15,pat,1,3,446,4,91,56,933,10057,4337,15093689,4,1
sort,16015,sort,sort,14,8,6,10,4,sort,1,4,462,5,56,23,7584,44758,25292,86986269,5,1
abide,33,abide,xbYd,5,4,1,3,2,abide,2,4,421,6,11,8,138,959,283,3722809,5,1
jog,9355,jog,Jag,11,10,1,5,6,jog,1,3,400,4,39,25,123,655,79,1002505,4,1
moon,11116,moon,mun,21,19,2,16,5,moon,1,3,343,5,83,36,2548,13778,1130,28383832,4,1
evil,5936,evil,ivL,6,4,2,4,2,evil,2,4,404,5,14,8,3731,8983,1808,25718442,5,1
copy,3943,copy,kapi,8,7,1,3,5,copy,2,4,377,5,44,15,2666,7396,969,79624352,5,1
limb,9929,limb,lIm,20,17,3,11,9,limb,1,3,333,5,87,14,238,2211,237,2360178,4,1
wiggle,19032,wiggle,wIgL,5,4,1,4,1,wiggle,2,5,332,7,32,10,152,539,116,646578,6,1
lasso,9682,lasso,l@so,3,2,1,1,2,lasso,2,4,398,5,27,13,45,131,7,573529,4,1
drew,5276,drew,dru,13,9,4,7,6,drew,1,3,379,5,52,12,1277,12170,1745,10762071,4,1
yes,19263,yes,yEs,9,8,1,6,3,yes,1,3,442,4,49,31,101835,106971,69475,159601314,4,1
hutch,8153,hutch,h^C,16,15,1,6,10,hutch,1,3,549,6,51,11,184,289,19,1373960,4,1
rub,14963,rub,r^b,23,18,5,14,9,rub,1,3,294,4,64,32,788,2697,348,3437527,4,1
coil,3423,coil,kOl,18,16,2,15,3,coil,1,3,380,5,82,19,82,676,30,5001819,4,1
whelp,18927,whelp,hwElp,3,2,1,1,2,whelp,1,4,238,6,29,3,24,13,0,71458,5,1
bitten,1869,bitten,bItN,10,8,2,7,3,bitten,2,5,539,7,58,11,188,846,134,821475,5,1
shrug,15635,shrug,Sr^g,3,2,1,2,1,shrug,1,4,469,6,13,3,20,1291,43,720506,5,1
perjury,12753,perjury,pRJXi,2,1,1,1,1,perjury,3,5,477,7,5,1,115,605,322,773202,5,1
botch,2083,botch,baC,13,11,2,6,7,botch,1,3,395,6,81,12,16,63,16,98745,4,1
friend,6807,friend,frEnd,5,3,2,4,1,friend,1,5,472,7,22,6,21384,39344,9083,154539828,6,1
found,6741,found,fWnd,14,13,1,12,2,found,1,4,489,6,24,11,20196,119500,19980,232008727,5,1
fan,6209,fan,f@n,21,20,1,17,4,fan,1,3,423,4,106,48,1792,9085,1944,47059257,4,1
love,10140,love,l^v,11,10,1,5,6,love,1,3,363,5,40,31,56864,84549,24659,201087618,4,1
lush,10197,lush,l^S,16,12,4,10,6,lush,1,3,431,5,52,27,60,1835,74,2660423,4,1
clan,3234,clan,kl@n,12,11,1,3,9,clan,1,4,480,5,49,27,209,2155,130,6798554,5,1
chain,2900,chain,Cen,19,18,1,16,3,chain,1,3,334,6,108,18,1082,9888,1099,35938524,4,1
rich,14802,rich,rIC,21,20,1,10,11,rich,1,3,439,5,83,24,4100,23965,4320,37207657,4,1
cower,4092,cower,kWX,9,7,2,5,4,cower,2,3,370,6,62,28,16,115,13,96406,4,1
crumble,4252,crumble,kr^mbL,3,2,1,2,1,crumble,2,7,589,8,9,8,71,692,73,477166,8,1
amiss,633,amiss,xmIs,5,4,1,2,3,amiss,2,4,460,5,10,6,38,274,39,273918,4,1
picky,12967,picky,pIki,10,7,3,2,8,picky,2,4,407,5,56,8,111,467,62,711200,5,1
sick,15649,sick,sIk,29,23,6,18,11,sick,1,3,559,5,109,35,8437,12970,3564,15974902,4,1
fled,6523,fled,flEd,10,8,2,5,5,fled,1,4,566,5,33,16,224,3820,675,2246067,5,1
vase,18353,vase,ves,16,15,1,13,3,vase,1,3,356,5,44,24,196,988,28,4094042,4,1
matrimony,10555,matrimony,m@trxmoni,2,1,1,1,1,matrimony,4,9,660,9,1,1,136,149,12,331010,10,1
throat,17306,throat,Trot,6,4,2,2,4,throat,1,4,403,7,18,4,1837,8165,841,14353822,5,1
halve,7604,halve,h@v,17,16,1,5,12,halve,1,3,448,6,45,10,7,222,4,242617,4,1
moss,11180,moss,mcs,15,14,1,12,3,moss,1,3,480,5,90,44,145,2605,209,5520302,4,1
coat,3352,coat,kot,31,26,5,19,12,coat,1,3,333,5,114,26,2146,9353,609,12207989,4,1
water,18834,water,wctX,3,2,1,1,2,water,2,4,323,6,24,26,11478,105096,11400,215184660,5,1
dive,5107,dive,dYv,17,14,3,9,8,dive,1,3,494,5,54,28,654,2367,302,8258687,4,1
lumber,10175,lumber,l^mbX,6,3,3,5,1,lumber,2,5,425,7,9,12,126,1625,115,3970464,6,1
bean,1637,bean,bin,25,23,2,17,8,bean,1,3,429,5,136,41,349,3841,245,8842603,4,1
square,16219,square,skwEr,3,1,2,1,2,square,1,5,529,7,6,3,1620,20747,2352,44788646,6,1
cubicle,4274,cubicle,kyubIkL,2,1,1,1,1,cubicle,3,8,523,8,3,3,131,556,47,679227,9,1
alternation,566,alternation,cltXneS|n,2,1,1,1,1,alternation,4,9,703,10,1,2,2,126,5,294977,7,2
nickel,11551,nickel,nIkL,10,9,1,5,5,nickel,2,5,349,7,52,15,431,1343,190,6106046,6,1
halter,7603,halter,hcltX,5,3,2,4,1,halter,2,5,483,7,21,22,26,313,25,1444780,6,2
hurry,8141,hurry,hRi,13,11,2,5,8,hurry,2,3,389,6,84,12,8856,3688,567,3538466,4,1
crash,4128,crash,kr@S,13,11,2,6,7,crash,1,4,485,6,44,9,1461,7522,2056,15314015,5,1
merry,10724,merry,mEri,11,9,2,9,2,merry,2,4,463,6,131,14,1994,1634,453,6373348,5,1
inning,8848,inning,InIG,2,1,1,1,1,inning,2,4,469,7,23,9,128,1935,113,2119847,5,1
happy,7646,happy,h@pi,3,2,1,1,2,happy,2,4,407,5,31,6,16993,31050,10550,63507173,5,1
ape,851,ape,ep,17,10,7,9,8,ape,1,2,346,4,59,34,493,996,50,2441446,3,1
shred,15617,shred,SrEd,8,6,2,6,2,shred,1,4,449,6,28,7,150,669,133,851931,5,1
spun,16201,spun,sp^n,11,8,3,3,8,spun,1,4,576,5,24,10,86,2379,121,1854414,5,1
windy,19072,windy,wIndi,3,2,1,1,2,windy,2,5,397,5,24,14,134,1090,157,2163179,5,2
bleat,1911,bleat,blit,14,12,2,7,7,bleat,1,4,418,6,30,9,6,64,2,152069,5,1
dram,5245,dram,dr@m,10,7,3,6,4,dram,1,4,506,5,33,23,10,124,1,1679051,5,1
nipple,11580,nipple,nIpL,7,6,1,2,5,nipple,2,5,320,7,27,10,144,631,36,7595055,6,1
emerge,5604,emerge,ImRJ,3,2,1,1,2,emerge,2,4,593,7,8,6,88,5197,578,4250813,5,1
quarrel,14069,quarrel,kwcrL,2,1,1,1,1,quarrel,2,6,427,8,9,2,286,630,125,590286,7,1
eaten,5428,eaten,itN,3,1,2,2,1,eaten,2,4,469,5,54,7,927,3526,325,3412832,5,1
grain,7340,grain,gren,20,16,4,7,13,grain,1,4,459,6,69,18,243,5014,520,10244623,5,1
kin,9490,kin,kIn,33,28,5,23,10,kin,1,3,286,4,170,45,218,1805,81,2338460,4,1
pride,13627,pride,prYd,12,9,3,4,8,pride,1,4,466,6,30,11,1411,7442,966,14445194,5,1
curve,4338,curve,kRv,13,12,1,6,7,curve,1,3,468,6,52,10,235,3929,424,11071742,4,1
hone,7988,hone,hon,23,20,3,15,8,hone,1,3,396,5,129,50,37,403,46,875783,4,1
daisy,4408,daisy,dezi,6,5,1,4,2,daisy,2,4,466,6,32,6,689,1463,144,5125361,5,2
loath,10050,loath,loT,13,11,2,3,10,loath,1,3,479,6,48,7,5,316,25,158004,4,1
gallon,6960,gallon,g@l|n,2,1,1,1,1,gallon,2,5,421,7,51,16,116,3165,869,4998083,6,1
shark,15533,shark,Sark,10,8,2,7,3,shark,1,4,449,6,57,18,764,2173,417,5909700,5,1
stark,16290,stark,stark,7,5,2,2,5,stark,1,5,587,6,32,18,331,2970,443,3479265,6,1
skin,15757,skin,skIn,13,11,2,4,9,skin,1,4,594,5,42,19,2246,26103,2238,54800399,5,1
sill,15685,sill,sIl,35,26,9,24,11,sill,1,3,407,5,128,32,23,453,19,787271,4,1
smoke,15869,smoke,smok,7,6,1,3,4,smoke,1,4,622,6,19,11,3337,12251,2198,16571457,5,1
six,15738,six,sIks,8,7,1,5,3,six,1,4,472,4,74,30,10176,68004,14427,71373283,5,1
mogul,11017,mogul,mogL,4,3,1,1,3,mogul,2,5,499,6,30,4,47,891,159,753098,6,1
nest,11505,nest,nEst,15,13,2,11,4,nest,1,4,380,5,52,33,566,3389,255,5602029,5,1
deed,4564,deed,did,18,17,1,13,5,deed,1,3,421,5,101,27,475,1041,96,4207607,4,1
plant,13102,plant,pl@nt,8,2,6,3,5,plant,1,5,351,6,19,19,1408,22580,2700,53249198,6,1
snuggle,15915,snuggle,sn^gL,3,2,1,1,2,snuggle,2,6,511,8,3,2,66,170,14,389398,7,1
afar,341,afar,xfar,4,3,1,2,2,afar,2,4,646,4,17,7,59,587,113,766928,4,1
fine,6433,fine,fYn,28,25,3,20,8,fine,1,3,510,5,93,38,30502,32561,6526,71983414,4,1
serve,15474,serve,sRv,14,10,4,7,7,serve,1,3,607,6,44,15,1935,23965,2931,36697856,4,1
ask,1121,ask,@sk,8,3,5,5,3,ask,1,3,409,4,34,20,24640,57880,23076,106411449,4,1
league,9742,league,lig,19,17,2,4,15,league,1,3,379,7,87,4,950,20154,2169,41115798,4,1
tank,16970,tank,t@Gk,16,11,5,11,5,tank,1,4,327,5,48,29,1306,7358,1306,22073920,5,1
risen,14852,risen,rIzN,8,7,1,6,2,risen,2,5,373,6,26,15,79,2757,352,2619862,5,1
proceed,13684,proceed,prosid,2,1,1,1,1,proceed,2,6,748,8,4,3,1066,3376,737,11314884,7,1
insect,8880,insect,InsEkt,5,3,2,2,3,insect,2,6,599,7,8,7,161,2000,83,4555341,7,1
incest,8527,incest,InsEst,7,5,2,3,4,incest,2,6,551,7,8,4,44,686,239,51394714,6,1
ewe,5944,ewe,yu,30,20,10,24,6,ewe,1,2,519,4,186,22,16,258,6,455654,3,1
crime,4188,crime,krYm,10,8,2,4,6,crime,1,4,519,6,42,13,3633,23091,8591,40363040,5,1
rip,14844,rip,rIp,32,28,4,20,12,rip,1,3,410,4,98,33,1028,2180,437,7815274,4,1
swish,16827,swish,swIS,9,8,1,2,7,swish,1,4,516,6,15,3,82,269,12,949706,5,1
slack,15770,slack,sl@k,19,17,2,9,10,slack,1,4,505,6,37,15,302,1465,197,1954286,5,1
scorn,15260,scorn,skorn,6,3,3,3,3,scorn,1,5,558,6,16,9,59,563,37,628582,6,1
deck,4528,deck,dEk,20,19,1,11,9,deck,1,3,309,5,103,32,1212,6451,516,16091750,4,1
snack,15880,snack,sn@k,10,8,2,5,5,snack,1,4,534,6,29,12,466,2130,163,3847152,5,1
prayer,13456,prayer,prEr,4,1,3,2,2,prayer,1,4,358,7,25,15,805,7584,1178,16763247,5,1
stair,16258,stair,stEr,12,10,2,5,7,stair,1,4,517,6,45,10,69,508,14,2012524,5,1
quick,14094,quick,kwIk,14,11,3,4,10,quick,1,4,295,6,30,5,5542,20412,5253,85588228,5,1
tweed,17880,tweed,twid,4,3,1,2,2,tweed,1,4,539,6,11,4,61,456,43,1632363,5,1
ruler,14986,ruler,rulX,3,2,1,1,2,ruler,2,4,499,6,45,12,162,1341,140,2615823,5,2
span,16044,span,sp@n,9,8,1,2,7,span,1,4,593,5,28,28,101,3273,383,9050838,5,1
mead,10592,mead,mid,20,19,1,14,6,mead,1,3,461,5,99,24,53,835,71,2129480,4,1
voice,18671,voice,vOs,7,6,1,4,3,voice,1,3,549,6,31,7,4394,76422,35523,64616737,4,1
dozen,5233,dozen,d^zN,2,1,1,1,1,dozen,2,5,480,6,11,10,1231,14001,1913,9776227,6,1
coy,4101,coy,kO,14,10,4,5,9,coy,1,2,313,4,100,50,88,362,49,808775,3,1
final,6422,final,fYnL,6,4,2,3,3,final,2,5,450,6,19,5,2533,31644,6006,97654851,6,1
maggot,10254,maggot,m@g|t,3,2,1,2,1,maggot,2,5,443,7,13,4,81,433,15,296057,6,1
canned,2538,canned,k@nd,16,10,6,8,8,canned,1,4,402,7,57,14,214,1814,121,2721212,5,2
bruise,2252,bruise,bruz,10,8,2,3,7,bruise,1,4,447,7,68,6,165,531,74,388443,5,1
deaf,4478,deaf,dEf,13,11,2,4,9,deaf,1,3,355,5,49,10,741,2187,440,5774245,4,1
sky,15768,sky,skY,6,5,1,3,3,sky,1,3,492,4,23,8,2285,19650,1325,27296223,4,1
gargle,7002,gargle,gargL,2,1,1,1,1,gargle,2,6,424,6,6,4,30,61,3,89983,7,1
chassis,2976,chassis,C@si,4,3,1,2,2,chassis,2,4,506,6,29,1,33,565,19,5955012,4,1
talent,16939,talent,t@l|nt,2,1,1,1,1,talent,2,6,449,7,9,3,1332,8405,1257,12712170,7,1
mink,10879,mink,mIGk,13,11,2,11,2,mink,1,4,329,5,58,35,189,435,58,1000653,5,1
petal,12831,petal,pEtL,12,9,3,6,6,petal,2,5,337,6,36,8,45,273,8,896103,6,1
crank,4122,crank,kr@Gk,8,5,3,6,2,crank,1,5,389,6,27,13,272,1104,114,2185694,6,1
lamp,9625,lamp,l@mp,11,8,3,9,2,lamp,1,4,480,5,41,30,657,2745,97,14645684,5,1
pain,12268,pain,pen,32,29,3,22,10,pain,1,3,381,5,125,37,4995,24976,4168,42189492,4,1
held,7771,held,hEld,11,9,2,4,7,held,1,4,313,5,46,20,2165,45447,6584,76101626,5,1
date,4453,date,det,24,20,4,16,8,date,1,3,355,5,80,38,7218,19581,3886,488975185,4,1
flea,6521,flea,fli,22,12,10,13,9,flea,1,3,399,5,95,12,169,1095,71,2796494,4,1
hilt,7904,hilt,hIlt,12,10,2,9,3,hilt,1,4,368,5,42,24,28,322,38,348212,5,1
mat,10532,mat,m@t,30,27,3,21,9,mat,1,3,364,4,94,61,178,1998,137,9947887,4,1
tube,17806,tube,tub,12,8,4,2,10,tube,1,4,340,5,6,20,838,6131,584,17269087,4,1
raise,14191,raise,rez,30,22,8,17,13,raise,1,3,443,6,186,17,2815,18470,5590,21100669,4,1
lights,9916,lights,lYts,5,3,2,1,4,lights,1,4,460,7,73,11,2877,13553,1515,25305991,5,2
flank,6502,flank,fl@Gk,8,6,2,6,2,flank,1,5,520,6,20,13,236,955,58,910609,6,1
kraut,9560,kraut,krWt,7,6,1,3,4,kraut,1,4,230,6,34,9,79,87,7,254150,5,1
vestal,18483,vestal,vEstL,5,3,2,2,3,vestal,2,6,539,6,12,3,14,52,2,471189,6,2
wail,18754,wail,wel,32,28,4,24,8,wail,1,3,367,5,141,32,44,611,21,326062,4,1
cluck,3333,cluck,kl^k,11,10,1,2,9,cluck,1,4,382,6,45,11,73,108,7,134048,5,1
faith,6179,faith,feT,11,10,1,2,9,faith,1,3,450,6,42,9,2363,19515,3712,35943362,4,1
bait,1448,bait,bet,33,29,4,23,10,bait,1,3,336,5,123,27,496,2293,203,3049754,4,1
grim,7419,grim,grIm,12,11,1,4,8,grim,1,4,346,5,39,19,244,2637,375,2653525,5,1
tram,17583,tram,tr@m,11,7,4,5,6,tram,1,4,450,5,38,27,70,407,27,1364261,5,1
scant,15207,scant,sk@nt,3,1,2,2,1,scant,1,5,477,6,14,10,12,1108,47,546008,6,1
drawer,5257,drawer,dror,6,5,1,1,5,drawer,1,4,356,7,21,5,663,2495,172,4830969,5,2
blew,1919,blew,blu,12,8,4,8,4,blew,1,3,376,5,57,12,1610,4526,885,2473593,4,1
sling,15814,sling,slIG,16,12,4,8,8,sling,1,4,632,6,49,14,117,564,49,1688770,5,1
ridge,14813,ridge,rIJ,14,13,1,3,11,ridge,1,3,449,6,47,11,361,5596,506,15996151,4,1
cluster,3337,cluster,kl^stX,5,3,2,4,1,cluster,2,6,453,8,13,6,67,4106,178,14678600,7,1
tent,17130,tent,tEnt,19,17,2,13,6,tent,1,4,334,5,51,34,892,4956,572,6544902,5,1
wool,19154,wool,wUl,13,11,2,9,4,wool,1,3,519,5,53,14,161,2798,106,7657323,4,1
postal,13368,postal,postL,5,4,1,3,2,postal,2,6,495,7,13,4,96,1661,460,29860400,7,2
fly,6601,fly,flY,13,9,4,5,8,fly,1,3,414,4,53,15,4335,13809,2880,28290310,4,1
tester,17172,tester,tEstX,5,3,2,3,2,tester,2,5,492,7,38,31,17,1175,30,3366908,6,2
thread,17291,thread,TrEd,6,5,1,5,1,thread,1,4,478,7,17,3,263,2783,232,167520390,5,1
avert,1357,avert,xvRt,5,4,1,3,2,avert,2,4,412,6,9,13,30,658,108,767636,5,1
clad,3225,clad,kl@d,13,11,2,4,9,clad,1,4,382,5,40,15,10,1638,65,2247938,5,1
grammar,7341,grammar,gr@mX,3,1,2,2,1,grammar,2,5,449,7,25,1,122,1434,97,8019520,5,1
launch,9706,launch,lcnC,5,4,1,4,1,launch,1,4,447,7,17,6,1018,6886,1563,23714910,5,1
grill,7417,grill,grIl,15,13,2,7,8,grill,1,4,401,6,41,17,227,4905,475,10254434,5,1
mass,10511,mass,m@s,26,20,6,16,10,mass,1,3,441,5,108,55,880,22769,3003,40377172,4,1
rift,14822,rift,rIft,12,8,4,9,3,rift,1,4,399,5,27,12,55,786,120,1120157,5,1
scrawl,15278,scrawl,skrcl,4,3,1,3,1,scrawl,1,5,425,7,9,2,12,137,5,119040,6,1
story,16425,story,stori,5,2,3,1,4,story,2,5,537,6,36,12,11260,81409,29771,138440672,6,1
tomb,17453,tomb,tum,22,19,3,13,9,tomb,1,3,508,5,60,10,287,1761,191,3894685,4,1
ball,1465,ball,bcl,24,21,3,19,5,ball,1,3,278,5,124,42,5353,22439,2756,43407316,4,1
cyst,4383,cyst,sIst,10,7,3,6,4,cyst,1,4,419,5,42,5,22,339,10,850857,5,1
power,13429,power,pWX,9,8,1,6,3,power,2,3,394,6,53,18,7600,85290,14004,226613941,4,1
balm,1476,balm,bam,13,12,1,6,7,balm,1,3,373,5,104,26,30,580,29,1851587,4,1
pipe,13036,pipe,pYp,18,17,1,11,7,pipe,1,3,260,5,44,18,989,4822,455,16180632,4,1
flex,6531,flex,flEks,4,3,1,3,1,flex,1,5,540,5,14,10,50,1143,84,5827672,6,1
cache,2406,cache,k@S,25,19,6,12,13,cache,2,4,467,6,14,10,31,2053,59,17258521,5,1
sprig,16187,sprig,sprIg,2,1,1,1,1,sprig,1,5,470,6,9,5,12,250,4,143773,6,1
pledge,13143,pledge,plEJ,4,3,1,3,1,pledge,1,4,359,7,10,7,351,2605,992,6025016,5,1
twit,17897,twit,twIt,11,7,4,4,7,twit,1,4,238,5,24,7,71,66,18,228177,5,1
pith,13060,pith,pIT,14,13,1,4,10,pith,1,3,309,5,43,20,10,160,3,189736,4,1
drill,5280,drill,drIl,12,10,2,7,5,drill,1,4,285,6,23,11,701,3456,690,8248787,5,1
lied,9897,lied,lit,40,29,11,23,17,lied,1,3,509,5,88,26,2234,2722,1078,2215843,4,2
drip,5282,drip,drIp,9,7,2,4,5,drip,1,4,337,5,20,8,261,1119,127,1856411,5,1
galley,6955,galley,g@li,13,10,3,11,2,galley,2,4,444,7,86,26,82,639,26,1031511,5,1
say,15190,say,se,37,23,14,17,20,say,1,2,405,4,156,55,83629,236505,112145,156858126,3,1
rile,14833,rile,rYl,26,24,2,16,10,rile,1,3,349,5,112,31,17,78,9,68294,4,1
teethe,17057,teethe,tiD,11,10,1,4,7,teethe,1,3,550,7,44,4,1,3,0,10130,4,1
nose,11674,nose,noz,18,15,3,9,9,nose,1,3,474,5,132,31,3557,12167,1296,10507658,4,1
rise,14851,rise,rYz,21,17,4,10,11,rise,1,3,485,5,140,43,1399,19257,2506,29537255,4,1
wind,19058,wind,wInd,11,8,3,3,8,wind,1,4,374,5,57,27,3028,22149,2499,42983281,5,1
hull,8098,hull,h^l,24,23,1,14,10,hull,1,3,349,5,104,25,215,2858,114,6744259,4,1
rack,14149,rack,r@k,29,26,3,18,11,rack,1,3,374,5,137,33,397,3636,148,14539676,4,1
colic,3434,colic,kalIk,6,5,1,5,1,colic,2,5,449,6,39,10,26,124,26,482850,5,1
gut,7525,gut,g^t,24,20,4,17,7,gut,1,3,384,4,66,28,497,2991,585,2982775,4,1
wing,19075,wing,wIG,18,15,3,8,10,wing,1,3,479,5,90,40,1032,8370,2064,17354423,4,1
nick,11550,nick,nIk,23,20,3,14,9,nick,1,3,367,5,95,29,3062,7092,1199,18714124,4,1
