node,ortho,phono,original,replace,delete_insert,pos_l50,pos_m50,Item,NumSylls,NumPhones,Duration,OrthUP,PhonND,OrthND,FreqSUBTLEX,FreqCOCA,FreqCOCAspok,FreqGoogle,PhonUP,NumMorphs
7272,going,goIG,1,1,0,1,0,going,2,4,356,6,22,11,108288,308524,189123,155293861,5,2
5385,duty,duti,6,6,0,5,1,duty,2,4,332,4,35,10,2599,10076,1720,32011339,5,1
3499,comedy,kamxdi,1,1,0,0,1,comedy,3,6,501,7,3,1,602,5740,1399,22994845,7,1
4188,crime,krYm,10,8,2,4,6,crime,1,4,519,6,42,13,3633,23091,8591,40363040,5,1
3150,chuckle,C^kL,5,4,1,3,2,chuckle,2,5,379,8,11,4,81,904,47,635926,6,1
9736,lead,lEd,31,23,8,20,11,lead,1,3,606,5,134,26,4246,38562,7348,68327739,4,1
9862,liable,lYxbL,3,1,2,3,0,liable,3,6,559,5,7,5,369,1252,239,12126852,5,1
11764,nutty,n^ti,6,5,1,4,2,nutty,2,4,464,5,17,7,182,582,127,689340,4,2
492,aline,xlYn,8,6,2,3,5,aline,2,4,576,6,39,26,24,202,45,276627,5,NA
9759,leaven,lEvxn,7,5,2,6,1,leaven,2,5,393,7,39,10,0,34,2,139841,6,1
5420,ease,iz,19,8,11,10,9,ease,1,2,457,5,173,36,974,6877,741,13977690,3,1
6367,fiat,fiat,2,1,1,0,2,fiat,2,4,381,5,7,10,9,694,83,3330076,3,1
6301,feeble,fibL,2,2,0,2,0,feeble,2,5,384,6,28,3,86,667,25,747164,5,1
10593,meadow,mEdo,4,3,1,0,4,meadow,2,4,401,7,23,3,116,1558,63,3549050,5,1
10889,minute,mIn|t,4,3,1,3,1,minute,2,5,494,7,4,2,19252,26841,8141,41062743,4,1
15768,sky,skY,6,5,1,3,3,sky,1,3,492,4,23,8,2285,19650,1325,27296223,4,1
13044,pirate,pYrxt,2,2,0,2,0,pirate,2,5,375,7,11,3,375,1154,114,4309949,6,1
9614,lamb,l@m,27,23,4,16,11,lamb,1,3,437,5,100,17,542,3186,321,6532527,4,1
13332,portable,portxbL,2,1,1,2,0,portable,3,8,420,9,1,2,204,2791,182,34210546,9,1
17031,teach,tiC,13,11,2,6,7,teach,1,3,360,6,69,16,3715,14813,2299,19086011,4,1
1759,berry,bEri,13,10,3,7,6,berry,2,4,374,6,144,23,178,2860,420,7552546,5,1
1245,attempt,xtEmpt,1,0,1,1,0,attempt,2,6,471,8,3,2,975,16579,2544,25251906,7,1
2510,can,k@n,35,27,8,21,14,can,1,3,459,4,168,64,267620,561421,146853,1242330385,4,1
18867,weasel,wizL,3,2,1,2,1,weasel,2,5,421,7,22,12,250,434,13,883023,6,1
7972,homely,homli,1,0,1,0,1,homely,2,5,401,6,7,3,47,306,16,326082,5,NA
1549,barn,barn,11,10,1,5,6,barn,1,4,361,5,66,41,693,3601,200,5955376,5,1
746,ankle,@GkL,4,2,2,1,3,ankle,2,5,392,6,7,5,409,3203,197,4147085,6,1
15543,shear,SIr,26,24,2,21,5,shear,1,3,419,6,88,18,21,656,57,2887491,4,1
9717,law,lc,24,15,9,14,10,law,1,2,317,4,110,40,5932,74779,19612,216130164,3,1
1656,beaver,bivX,3,3,0,1,2,beaver,2,4,519,7,41,18,246,1197,74,8683140,5,1
17258,thieves,Tivz,5,3,2,4,1,thieves,1,4,475,8,23,3,464,1435,307,2201031,4,1
4233,crow,kro,14,10,4,9,5,crow,1,3,338,5,95,24,227,1979,191,4603692,4,1
14963,rub,r^b,23,18,5,14,9,rub,1,3,294,4,64,32,788,2697,348,3437527,4,1
1167,assort,xsort,2,1,1,2,0,assort,2,5,455,7,3,1,0,3,1,50353,6,1
17484,top,tap,21,17,4,16,5,top,1,3,319,4,75,37,6805,76822,13724,484225102,4,1
1886,blade,bled,9,8,1,3,6,blade,1,4,527,6,39,14,663,4132,113,11529676,5,1
616,amen,emEn,1,0,1,1,0,amen,2,4,529,5,8,25,1325,801,250,2402870,4,1
3973,corona,kXonx,2,2,0,1,1,corona,3,5,499,7,12,4,58,599,33,2807296,6,1
18552,vile,vYl,22,19,3,15,7,vile,1,3,499,5,79,30,226,496,100,930954,4,1
16228,squeeze,skwiz,2,2,0,0,2,squeeze,1,5,648,8,6,2,769,3521,467,3017492,6,1
4146,create,kriet,3,0,3,0,3,create,2,5,619,7,8,8,1289,32554,5415,137075022,6,1
11212,mouth,mWT,7,6,1,5,2,mouth,1,3,539,6,22,11,5325,22510,2107,22881577,4,1
15511,shade,Sed,18,17,1,12,6,shade,1,3,605,6,80,20,304,4732,173,6999879,4,1
4573,defeat,dxfit,1,1,0,1,0,defeat,2,5,438,7,4,3,580,5657,1293,6851628,6,1
9773,left,lEft,11,8,3,7,4,left,1,4,380,5,24,14,24707,112127,19989,171759371,5,1
7200,glass,gl@s,7,4,3,4,3,glass,1,4,511,6,30,12,3096,24721,1598,63565118,5,1
96,abuse,xbyuz,2,2,0,2,0,abuse,2,5,531,6,1,6,523,16706,3916,36270050,6,1
8095,hula,hulx,1,1,0,1,0,hula,2,4,419,4,22,21,100,209,25,921011,4,NA
9718,lawn,lcn,19,16,3,13,6,lawn,1,3,480,5,99,16,630,5269,619,10551602,4,1
12357,pantry,p@ntri,3,2,1,2,1,pantry,2,6,486,5,5,7,89,853,64,1268228,5,2
7408,grew,gru,15,9,6,8,7,grew,1,3,469,5,59,15,1493,18989,3199,10698645,4,1
2779,caught,kct,23,20,3,17,6,caught,1,3,477,6,134,6,4791,23155,4521,17750070,4,1
16053,spark,spark,5,2,3,2,3,spark,1,5,651,6,20,14,320,2163,277,4847230,6,1
15264,scotch,skaC,4,4,0,0,4,scotch,1,4,545,7,15,1,752,1025,60,2104031,5,1
6625,folly,fali,11,10,1,10,1,folly,2,4,459,5,81,17,74,749,52,1367992,5,1
2392,cab,k@b,22,19,3,11,11,cab,1,3,349,4,81,46,1826,3485,395,9280172,4,1
16731,supposed,sxpozd,1,0,1,0,1,supposed,2,6,677,9,2,2,12865,20498,6273,14497557,6,2
11202,mount,mWnt,7,5,2,5,2,mount,1,4,567,6,14,8,597,7754,759,36648936,5,1
1172,assure,xSUr,6,4,2,4,2,assure,2,4,524,7,8,3,1021,2898,650,8118473,5,1
4513,decay,dxke,1,1,0,0,1,decay,2,4,479,6,19,7,105,1582,103,4956909,5,1
1918,blessed,blEst,5,2,3,4,1,blessed,1,5,500,8,8,1,704,3147,515,6405692,5,2
6632,font,fant,3,3,0,2,1,font,1,4,502,5,23,18,48,523,14,30329400,5,1
13301,pop,pap,29,23,6,19,10,pop,1,3,305,4,83,44,3441,11213,1922,54142627,4,1
16517,stuck,st^k,16,11,5,3,13,stuck,1,4,557,6,45,16,3399,10094,1848,9120841,5,1
15525,shame,Sem,17,16,1,11,6,shame,1,3,517,6,58,16,2120,5146,972,6785654,4,1
7043,gaze,gez,20,17,3,12,8,gaze,1,3,505,5,145,28,129,6703,69,2120279,4,1
15885,snap,sn@p,9,7,2,3,6,snap,1,4,375,5,20,12,887,3412,266,7982587,5,1
16318,steady,stEdi,3,2,1,2,1,steady,2,5,438,6,15,2,1158,7655,741,8194341,6,2
16803,swear,swEr,11,9,2,8,3,swear,1,4,510,6,30,9,4496,2486,485,3082820,5,1
10291,main,men,31,27,4,21,10,main,1,3,378,5,169,44,2179,30403,4490,199627044,4,1
15848,smack,sm@k,9,7,2,5,4,smack,1,4,515,6,26,12,485,1065,182,1453682,5,1
13069,pity,pIti,12,10,2,9,3,pity,2,4,335,5,51,12,1199,2361,189,2642047,5,1
18927,whelp,hwElp,3,2,1,1,2,whelp,1,4,238,6,29,3,24,13,0,71458,5,1
17204,their,DEr,17,15,2,14,3,their,1,3,316,6,82,6,33413,686111,118894,782857871,4,1
17807,tuber,tubX,5,4,1,1,4,tuber,2,4,391,6,27,19,3,123,4,249743,5,1
18821,was,wxz,1,1,0,1,0,was,1,3,429,4,47,45,288391,1832180,447654,1483436342,4,1
6905,fuse,fyuz,7,5,2,2,5,fuse,1,4,668,5,59,19,248,705,103,3000882,5,1
5264,dreamed,drimd,2,1,1,0,2,dreamed,1,5,446,7,8,4,784,2823,398,1698333,5,2
13944,pump,p^mp,14,12,2,11,3,pump,1,4,301,5,20,16,645,4620,730,18645408,5,1
17465,tong,tcG,12,11,1,7,5,tong,1,3,457,5,49,37,116,254,48,1310252,4,NA
10095,loin,lOn,11,11,0,9,2,loin,1,3,388,5,57,20,18,332,17,543246,4,1
17492,topping,tapIG,1,1,0,0,1,topping,2,5,379,8,21,14,45,1365,126,1431763,6,2
9709,laurel,lcrL,5,4,1,4,1,laurel,2,5,410,7,46,4,188,1708,58,4366332,6,1
17461,ton,t^n,28,25,3,20,8,ton,1,3,328,4,102,61,382,2803,473,8413255,4,1
19090,wise,wYz,15,13,2,5,10,wise,1,3,565,5,130,31,1452,6481,1208,13316928,4,1
10331,malign,mxlYn,1,0,1,1,0,malign,2,5,599,7,12,3,10,120,8,179108,6,1
9706,launch,lcnC,5,4,1,4,1,launch,1,4,447,7,17,6,1018,6886,1563,23714910,5,1
7477,grunt,gr^nt,4,3,1,4,0,grunt,1,5,413,6,19,9,113,708,18,618246,6,1
4084,cover,k^vX,4,4,0,1,3,cover,2,4,409,6,27,31,4808,29453,5492,94503381,5,1
7358,grant,gr@nt,6,3,3,2,4,grant,1,5,402,6,25,18,1660,11380,1542,47611492,6,1
4304,cupboard,k^bXd,1,1,0,1,0,cupboard,2,5,377,9,6,1,127,648,24,1119123,6,1
15301,scud,sk^d,6,5,1,3,3,scud,1,4,452,5,18,6,31,767,448,248971,5,1
1439,baggy,b@gi,3,2,1,2,1,baggy,2,4,384,5,34,9,48,743,51,419677,5,2
15207,scant,sk@nt,3,1,2,2,1,scant,1,5,477,6,14,10,12,1108,47,546008,6,1
12994,piled,pYld,5,3,2,3,2,piled,1,4,377,5,25,12,76,1955,146,818173,4,2
17799,trustee,tr^sti,1,0,1,0,1,trustee,2,6,512,8,9,2,42,920,95,6132688,7,2
15533,shark,Sark,10,8,2,7,3,shark,1,4,449,6,57,18,764,2173,417,5909700,5,1
17284,those,Doz,9,8,1,8,1,those,1,3,538,4,71,10,38404,244236,71088,270022703,3,1
19257,yeast,yist,4,3,1,4,0,yeast,1,4,450,6,21,15,44,1165,101,6083904,5,1
3284,clerk,klRk,8,7,1,2,6,clerk,1,4,395,6,25,5,658,2869,444,11924752,5,1
4736,derive,dXYv,2,1,1,2,0,derive,2,4,539,7,8,7,35,1257,61,3253144,5,2
9613,lake,lek,32,28,4,22,10,lake,1,3,376,5,105,43,1836,21049,1883,85246323,4,1
7228,glory,glori,1,0,1,1,0,glory,2,5,457,5,28,6,1096,3723,365,13160100,6,1
6731,forty,forti,4,2,2,1,3,forty,2,5,446,6,38,11,539,10012,1624,7415064,6,2
10099,long,lcG,13,11,2,8,5,long,1,3,529,5,67,37,34433,180566,35209,252534359,4,1
18633,vital,vYtL,6,4,2,2,4,vital,2,5,388,6,20,13,396,7006,903,14168370,6,1
7808,hemp,hEmp,4,2,2,1,3,hemp,1,4,419,5,22,15,17,520,50,2200098,5,1
6537,flicker,flIkX,5,3,2,2,3,flicker,2,5,472,8,18,8,35,805,34,814398,6,2
1378,award,xword,5,4,1,5,0,award,2,5,413,6,10,9,657,10786,1722,59653406,6,1
10678,men,mEn,27,22,5,20,7,men,1,3,356,4,129,54,19011,96300,17258,174067226,4,1
15600,short,Sort,10,7,3,6,4,short,1,4,431,6,45,18,4367,48306,7745,106760897,5,1
6516,flavor,flevX,2,1,1,2,0,flavor,2,5,563,7,12,2,255,5667,618,6223085,6,1
1376,awake,xwek,4,2,2,2,2,awake,2,4,499,6,6,4,1362,3759,384,3233171,5,1
12368,papery,pepXi,2,1,1,1,1,papery,3,5,425,6,5,2,4,113,0,50159,5,2
15992,sonic,sanIk,5,5,0,5,0,sonic,2,5,498,6,11,7,99,677,68,7309714,6,1
10440,march,marC,11,9,2,3,8,march,1,4,559,6,42,20,1225,26604,3544,158286161,5,1
7086,genital,JEn|tL,2,0,2,0,2,genital,3,7,480,8,2,2,27,633,55,2264034,8,3
