node,ortho,phono,original,replace,delete_insert,pos_l50,pos_m50,Item,NumSylls,NumPhones,Duration,OrthUP,PhonND,OrthND,FreqSUBTLEX,FreqCOCA,FreqCOCAspok,FreqGoogle,PhonUP
16731,supposed,sxpozd,1,0,1,0,1,supposed,2,6,677,9,2,2,12865,20498,6273,14497557,6
1172,assure,xSUr,6,4,2,4,2,assure,2,4,524,7,8,3,1021,2898,650,8118473,5
5075,dissolve,dIzalv,2,2,0,2,0,dissolve,2,6,540,9,4,3,95,1424,90,1307386,7
18927,whelp,hwElp,3,2,1,1,2,whelp,1,4,238,6,29,3,24,13,0,71458,5
17807,tuber,tubX,5,4,1,1,4,tuber,2,4,391,6,27,19,3,123,4,249743,5
13628,priest,prist,1,0,1,0,1,priest,1,5,378,7,18,6,1336,5614,923,7402030,6
6905,fuse,fyuz,7,5,2,2,5,fuse,1,4,668,5,59,19,248,705,103,3000882,5
13944,pump,p^mp,14,12,2,11,3,pump,1,4,301,5,20,16,645,4620,730,18645408,5
7477,grunt,gr^nt,4,3,1,4,0,grunt,1,5,413,6,19,9,113,708,18,618246,6
10404,mannequin,m@nIk|n,1,1,0,0,1,mannequin,3,7,482,10,1,1,62,245,39,397146,8
17799,trustee,tr^sti,1,0,1,0,1,trustee,2,6,512,8,9,2,42,920,95,6132688,7
15533,shark,Sark,10,8,2,7,3,shark,1,4,449,6,57,18,764,2173,417,5909700,5
17284,those,Doz,9,8,1,8,1,those,1,3,538,4,71,10,38404,244236,71088,270022703,3
19257,yeast,yist,4,3,1,4,0,yeast,1,4,450,6,21,15,44,1165,101,6083904,5
7228,glory,glori,1,0,1,1,0,glory,2,5,457,5,28,6,1096,3723,365,13160100,6
14623,reproof,rIpruf,1,1,0,0,1,reproof,2,6,703,6,0,0,2,26,0,96285,5
15726,sip,sIp,28,25,3,21,7,sip,1,3,417,4,83,44,260,2026,108,5433773,4
15545,sheath,SiT,11,10,1,4,7,sheath,1,3,449,7,55,6,25,520,18,1252872,4
7184,glacial,gleSL,1,1,0,0,1,glacial,2,6,542,7,0,0,6,518,17,1085890,5
406,aggression,xgrES|n,1,1,0,1,0,aggression,3,7,480,11,3,1,143,3978,782,2543047,8
11194,motive,motIv,1,1,0,1,0,motive,2,5,397,7,4,5,675,2459,974,2136857,6
2532,candor,k@ndX,10,8,2,4,6,candor,2,5,464,5,34,6,51,561,134,371814,5
2396,cabbage,k@bIJ,1,1,0,1,0,cabbage,2,5,499,8,5,3,148,1705,88,2237437,5
19195,wreck,rEk,18,17,1,13,5,wreck,1,3,321,6,121,9,697,1804,332,2448625,4
8953,insulate,Insxlet,1,0,1,0,1,insulate,3,7,728,9,3,2,14,360,33,340181,8
10140,love,l^v,11,10,1,5,6,love,1,3,363,5,40,31,56864,84549,24659,201087618,4
19086,wire,wYr,22,19,3,13,9,wire,2,3,519,5,114,36,1403,7556,882,31120754,4
12997,piling,pYlIG,3,3,0,3,0,piling,2,5,480,7,18,9,72,776,171,690226,6
7866,hew,hyu,9,5,4,7,2,hew,1,3,363,4,61,39,8,193,10,356064,4
4758,design,dIzYn,2,2,0,2,0,design,2,5,512,7,8,5,826,29783,1364,264467230,6
2304,bully,bUli,8,7,1,6,2,bully,2,4,411,6,48,17,368,1363,308,1532418,5
907,applause,xplcz,1,1,0,0,1,applause,2,5,622,7,4,0,576,3031,1544,1705835,5
5113,divide,dxvYd,4,4,0,0,4,divide,2,5,483,7,14,5,298,4726,815,6625935,6
12949,piazza,pi@zx,1,1,0,1,0,piazza,3,5,558,6,3,1,25,596,29,1694892,4
17521,toss,tcs,10,9,1,5,5,toss,1,3,482,5,54,34,632,4350,342,2645572,4
4163,creepy,kripi,1,0,1,0,1,creepy,2,5,365,6,14,4,568,898,194,1697316,6
48,abnormal,@bnormL,1,0,1,0,1,abnormal,3,8,768,9,1,0,148,1330,152,3966114,9
3216,city,sIti,7,6,1,5,2,city,2,4,365,5,42,4,8624,110435,20881,390573240,5
8256,if,If,13,10,3,5,8,if,1,2,375,3,46,26,180610,589059,179701,1134988791,3
5304,drown,drWn,9,8,1,4,5,drown,1,4,406,6,17,7,540,1044,221,1156106,5
1379,aware,xwEr,4,3,1,4,0,aware,2,4,559,6,14,5,1818,16138,3300,25701095,5
18256,uttermost,^tXmost,2,1,1,2,0,uttermost,3,7,571,6,3,0,3,15,0,150056,4
15866,smitten,smItN,1,0,1,1,0,smitten,2,6,502,6,7,1,62,359,56,382659,6
4976,discard,dIskard,1,1,0,0,1,discard,2,7,579,8,5,4,55,1466,36,1974345,8
5795,equestrian,IkwEstrixn,1,1,0,0,1,equestrian,4,10,604,4,0,0,20,411,14,3081766,4
1239,attain,xten,7,5,2,4,3,attain,2,4,440,7,18,1,47,1347,66,2668275,5
2471,callow,k@lo,9,8,1,8,1,callow,2,4,426,7,52,9,13,101,8,186826,5
17786,TRUE,tru,18,11,7,8,10,TRUE,1,3,360,5,61,14,12921,50607,15278,96282261,4
6736,fought,fct,20,17,3,16,4,fought,1,3,428,5,71,8,1362,8271,2018,5535215,4
2491,camber,k@mbX,5,3,2,4,1,camber,2,5,549,6,20,12,0,62,3,368461,6
15988,son,s^n,26,24,2,20,6,son,1,3,392,4,110,62,20949,42385,9688,58098266,4
17331,thy,DY,23,21,2,17,6,thy,1,2,433,4,92,18,1243,899,131,10020384,3
14279,ravel,r@vL,9,7,2,6,3,ravel,2,5,529,6,23,22,21,178,6,515437,6
4182,crew,kru,19,10,9,11,8,crew,1,3,423,5,94,17,2424,11363,2238,22459782,4
16456,stray,stre,10,4,6,4,6,stray,1,4,523,6,20,10,272,1494,138,1807545,5
4176,crest,krEst,9,6,3,6,3,crest,1,5,620,6,27,14,107,1328,152,5477034,6
4937,dip,dIp,25,23,2,16,9,dip,1,3,302,4,75,31,406,2619,328,5850511,4
2998,checker,CEkX,3,1,2,0,3,checker,2,4,377,8,37,3,56,263,31,3577995,5
5930,every,Evri,2,1,1,2,0,every,2,4,321,6,15,9,28007,135518,34789,189332269,5
4750,desecration,dEsIkreS|n,1,0,1,0,1,desecration,4,10,668,12,3,2,23,203,37,321471,11
15793,slay,sle,19,12,7,9,10,slay,1,3,574,5,55,25,109,212,14,702325,4
1970,bluish,bluIS,1,1,0,0,1,bluish,2,5,508,5,6,3,7,388,10,384449,5
607,ambitious,@mbIS|s,1,1,0,0,1,ambitious,3,7,598,10,1,1,243,3879,428,3292680,8
17310,throne,Tron,8,6,2,5,3,throne,1,4,429,7,23,8,441,1680,216,3392820,5
8489,inalienable,InelyxnxbL,1,1,0,1,0,inalienable,5,11,532,4,0,2,20,241,26,316410,4
4453,date,det,24,20,4,16,8,date,1,3,355,5,80,38,7218,19581,3886,488975185,4
19186,wove,wov,12,11,1,8,4,wove,1,3,430,5,24,15,12,341,10,198353,4
13125,play,ple,16,9,7,7,9,play,1,3,333,5,52,22,18081,68601,13591,150763326,4
17319,thud,T^d,7,7,0,5,2,thud,1,3,334,5,29,10,99,629,32,392615,4
14740,reveal,rIvil,2,2,0,1,1,reveal,2,5,563,7,6,7,476,8309,1039,8279126,6
18032,undertake,^ndXtek,1,0,1,0,1,undertake,3,7,609,10,3,3,52,1438,158,5613443,8
9994,list,lIst,19,16,3,10,9,list,1,4,478,5,56,33,4110,31376,5888,472615583,5
5337,dug,d^g,22,21,1,13,9,dug,1,3,469,4,60,31,455,3189,427,1925921,4
17457,tome,tom,22,20,2,14,8,tome,1,3,300,5,65,30,39,343,14,4284389,4
15586,shirt,SRt,15,14,1,13,2,shirt,1,3,395,6,71,12,2365,13813,1409,40510838,4
11726,nude,nud,15,13,2,8,7,nude,1,3,344,5,56,16,301,1643,322,96757551,4
12587,peaked,pikt,5,3,2,2,3,peaked,1,4,374,6,36,8,62,959,97,870787,4
15532,share,SEr,22,20,2,18,4,share,1,3,420,6,124,32,3545,30316,4932,119297860,4
6390,fifteen,fIftin,1,0,1,0,1,fifteen,2,6,540,8,6,2,895,7293,878,6252884,7
13344,portion,porS|n,3,1,2,3,0,portion,2,6,459,8,7,2,221,7351,973,23356888,7
11595,noble,nobL,5,3,2,5,0,noble,2,5,512,6,37,16,744,3221,356,12605251,6
12159,ovation,oveS|n,1,1,0,1,0,ovation,3,6,484,8,1,2,45,446,83,791068,7
8231,idea,Ydix,1,1,0,0,1,idea,3,4,423,5,15,9,18311,56406,15986,65466433,5
4294,culture,k^lCX,2,1,1,1,1,culture,2,5,452,8,12,3,711,35835,3703,68608026,6
3121,chosen,CozN,1,0,1,0,1,chosen,2,5,516,6,8,3,927,9439,1189,21347014,4
17370,timid,tImxd,1,1,0,1,0,timid,2,5,397,6,0,1,77,719,84,663058,5
12549,patrician,pxtrIS|n,2,0,2,2,0,patrician,3,8,588,10,4,2,5,245,7,218456,9
4313,curb,kRb,12,11,1,5,7,curb,1,3,495,5,58,9,209,2718,279,3509520,4
9754,lease,lis,27,24,3,12,15,lease,1,3,392,6,140,24,320,2125,171,17180592,4
13031,pinto,pInto,1,1,0,1,0,pinto,2,5,484,5,13,15,43,466,79,1108872,5
18517,vice,vYs,16,14,2,10,6,vice,1,3,418,5,62,27,950,21532,8967,32223701,4
18529,victimize,vIktxmYz,1,0,1,0,1,victimize,3,8,764,10,3,1,9,61,23,44256,9
11703,novel,navL,3,3,0,1,2,novel,2,5,473,6,17,12,513,13577,1248,21821672,6
19171,worm,wRm,10,10,0,4,6,worm,1,3,490,5,40,13,516,1474,69,5784026,4
17936,umpire,^mpYr,1,1,0,1,0,umpire,3,5,486,7,2,2,54,433,69,795626,6
14712,retake,ritek,1,1,0,0,1,retake,2,5,483,7,5,4,37,245,59,348798,6
2591,capitol,k@pxtL,2,1,1,0,2,capitol,3,7,486,8,8,4,122,6567,3176,7917607,8
12397,parameter,pX@mxtX,1,1,0,1,0,parameter,4,7,672,10,3,2,13,669,12,22301697,8
2985,chattel,C@tL,9,8,1,4,5,chattel,2,5,421,7,17,3,15,80,7,191116,5
7852,hero,hIro,3,2,1,2,1,hero,2,4,379,5,22,34,2542,7912,1942,12346600,5
16957,tamp,t@mp,11,6,5,8,3,tamp,1,4,386,5,35,23,3,111,29,95517,5
2254,brunch,br^nC,4,3,1,3,1,brunch,1,5,441,7,13,4,189,785,45,2123970,6
11632,none,n^n,20,20,0,15,5,none,1,3,335,5,78,31,5641,22082,4214,85532588,4
15216,scarf,skarf,2,0,2,0,2,scarf,1,5,562,6,8,12,239,1691,120,3181107,6
13239,political,pxlItIkL,1,1,0,0,1,political,4,9,547,10,1,1,1115,92025,22593,82022326,7
13969,puppy,p^pi,6,5,1,2,4,puppy,2,4,417,5,15,4,584,1295,268,6662994,5
18418,venue,vEnyu,1,1,0,1,0,venue,2,5,499,6,2,4,73,1636,215,14204074,4
8033,horror,hcrX,2,2,0,0,2,horror,2,4,438,7,44,3,468,4312,721,16404225,5
1706,being,biIG,1,1,0,1,0,being,2,4,436,6,22,10,24781,177650,52565,242793967,5
2321,bunk,b^Gk,14,10,4,9,5,bunk,1,4,509,5,43,26,320,1034,96,1645649,5
16931,tag,t@g,21,20,1,14,7,tag,1,3,370,4,62,40,708,3394,492,32443312,4
16391,stock,stak,12,9,3,2,10,stock,1,4,590,6,47,17,1300,22498,4253,176300524,5
5148,dog,dcg,8,8,0,6,2,dog,1,3,326,4,46,36,9835,22251,4315,77282721,4
18468,vertical,vRtIkL,1,1,0,1,0,vertical,3,7,472,9,0,0,141,3864,87,16230027,6
1913,bleed,blid,9,8,1,3,6,bleed,1,4,370,6,26,7,515,816,151,1989525,5
2709,cask,k@sk,7,5,2,4,3,cask,1,4,455,5,34,17,6,104,7,484364,5
18025,underside,^ndXsYd,1,0,1,0,1,underside,3,7,763,8,2,0,12,670,20,738829,7
19176,worse,wRs,14,12,2,6,8,worse,1,3,454,6,71,9,5002,19564,5186,15677993,4
9186,irk,Rk,16,8,8,12,4,irk,1,2,312,4,86,14,5,28,5,124144,3
9804,leisure,liZX,3,3,0,1,2,leisure,2,4,629,8,29,2,129,2448,183,23133305,4
14570,render,rEndX,4,3,1,3,1,render,2,5,379,7,31,26,103,1511,119,5232001,6
5386,dwarf,dworf,1,0,1,1,0,dwarf,1,5,425,6,7,2,157,1417,61,3072068,6
10175,lumber,l^mbX,6,3,3,5,1,lumber,2,5,425,7,9,12,126,1625,115,3970464,6
15903,snivel,snIvL,3,2,1,2,1,snivel,2,6,484,7,3,2,5,9,1,18854,7
3336,clung,kl^G,8,7,1,3,5,clung,1,4,442,5,23,9,24,1146,37,371586,5
1789,bias,bYxs,1,1,0,1,0,bias,2,4,629,5,24,20,82,4418,640,8808565,5
2213,brittle,brItL,3,3,0,1,2,brittle,2,6,362,8,19,5,71,907,36,880926,6
12212,overturn,ovXtRn,1,1,0,0,1,overturn,3,6,649,9,5,3,19,799,339,618972,7
14172,raffle,r@fL,7,7,0,3,4,raffle,2,5,491,7,25,8,93,169,11,1541879,6
7155,gift,gIft,5,5,0,4,1,gift,1,4,596,5,19,10,3290,12214,1808,131428152,5
5185,donkey,dcGki,1,1,0,1,0,donkey,2,5,479,7,9,6,273,1189,72,2821287,6
15422,sensor,sEnsor,1,1,0,0,1,sensor,2,5,544,7,27,7,115,1595,76,13759804,6
7235,glower,glWX,1,1,0,1,0,glower,2,4,420,7,11,9,0,78,6,35287,5
13055,pitch,pIC,24,21,3,13,11,pitch,1,3,372,6,67,15,792,6672,801,9800806,4
12681,Pentecostal,pEntIkcstL,1,0,1,0,1,pentecostal,4,11,714,10,0,0,10,522,35,534827,10
15627,shrink,SrIGk,6,5,1,6,0,shrink,1,5,467,7,14,5,577,1942,272,3261118,6
14339,receive,rIsiv,4,4,0,2,2,receive,2,5,624,8,7,10,992,14838,1676,88330662,6
16945,tallow,t@lo,10,8,2,8,2,tallow,2,4,402,6,31,11,5,138,0,239819,4
5513,election,xlEkS|n,2,1,1,2,0,election,3,7,738,9,5,5,560,26106,12730,36728229,8
33,abide,xbYd,5,4,1,3,2,abide,2,4,421,6,11,8,138,959,283,3722809,5
9671,lark,lark,11,9,2,7,4,lark,1,4,351,5,46,22,83,423,28,972888,5
2682,carriage,k@rIJ,2,2,0,2,0,carriage,2,5,444,9,20,3,381,1780,110,4664470,6
16075,specific,spxsIfIk,1,0,1,1,0,specific,3,8,629,9,2,1,908,31631,3850,107786068,9
19269,yoga,yogx,2,2,0,1,1,yoga,2,4,435,4,8,8,227,2282,217,14665972,4
15514,shaft,S@ft,5,4,1,5,0,shaft,1,4,446,6,16,7,393,2247,134,6431597,5
13215,pointer,pOntX,1,0,1,0,1,pointer,2,5,501,8,14,11,55,927,56,11476769,6
2206,brisk,brIsk,7,4,3,4,3,brisk,1,5,379,6,23,7,53,1013,56,774000,6
5705,ensign,Ens|n,1,1,0,1,0,ensign,2,5,629,5,25,1,181,298,128,967853,5
3512,command,kxm@nd,4,2,2,1,3,command,2,6,497,8,5,3,2225,9526,1772,59871929,7
12829,pestle,pEstL,7,5,2,5,2,pestle,2,6,529,5,14,4,31,146,12,174357,7
10518,mast,m@st,14,11,3,10,4,mast,1,4,565,5,58,35,83,617,53,2341785,5
16301,station,steS|n,2,0,2,1,1,station,2,6,525,8,11,4,4033,20567,4302,61893414,7
15317,seal,sil,31,28,3,20,11,seal,1,3,519,5,197,34,752,4315,523,16275478,4
2526,candid,k@nd|d,2,2,0,1,1,candid,2,6,529,7,8,5,102,1088,394,3066199,7
15328,seasonable,sizNxbL,1,1,0,1,0,seasonable,4,9,732,8,1,2,2,10,5,51494,7
5919,even,ivxn,2,1,1,2,0,even,2,4,419,5,7,25,44672,279417,57396,245707765,5
16936,take,tek,25,23,2,22,3,take,1,3,298,5,69,36,96443,185863,61593,264366303,4
11998,oratorio,crxtorio,1,0,1,0,1,oratorio,5,8,696,8,0,0,2,79,20,197424,4
10980,mixture,mIksCX,1,1,0,1,0,mixture,2,6,649,8,5,2,126,10337,325,8996041,7
14761,revive,rIvYv,3,2,1,0,3,revive,2,5,559,7,3,7,94,1235,250,1247670,6
1014,argon,argan,1,1,0,1,0,argon,2,5,558,6,2,10,9,141,6,761489,4
16054,sparkle,sparkL,1,0,1,0,1,sparkle,2,7,616,8,4,5,85,649,67,1998800,8
4120,crane,kren,15,12,3,7,8,crane,1,4,403,6,68,21,1714,2054,199,4888961,5
4378,cymbal,sImbL,4,3,1,3,1,cymbal,2,6,505,7,14,1,13,53,6,611557,7
9894,lid,lId,23,21,2,16,7,lid,1,3,489,4,84,39,251,2714,185,5788240,4
11965,opossum,xpasM,2,1,1,1,1,opossum,3,6,635,3,1,1,4,66,5,193299,4
14917,rope,rop,27,23,4,15,12,rope,1,3,395,5,116,35,1158,4159,429,6948203,4
1061,arrest,xrEst,5,3,2,5,0,arrest,2,4,520,7,30,3,3037,7141,2504,7653819,5
2817,celebrity,sxlEbrxti,1,0,1,1,0,celebrity,4,9,558,10,2,1,372,5085,1712,23500942,10
1395,axial,@ksiL,2,1,1,0,2,axial,3,6,519,4,3,0,7,425,2,1685087,7
644,among,xm^G,1,1,0,0,1,among,2,4,452,6,3,6,1729,90909,9247,83432110,5
3269,clear,klIr,9,8,1,5,4,clear,1,4,431,6,38,11,8763,51346,12859,88453565,5
17279,thorn,Torn,9,9,0,8,1,thorn,1,4,376,6,35,14,260,812,59,1422150,5
7915,hint,hInt,10,9,1,7,3,hint,1,4,347,5,35,22,469,3685,464,6007484,5
15757,skin,skIn,13,11,2,4,9,skin,1,4,594,5,42,19,2246,26103,2238,54800399,5
7697,haunt,hcnt,11,11,0,9,2,haunt,1,4,394,6,22,11,182,998,239,985188,5
11656,noon,nun,19,18,1,13,6,noon,1,3,403,5,63,19,924,6211,1344,9918712,4
15685,sill,sIl,35,26,9,24,11,sill,1,3,407,5,128,32,23,453,19,787271,4
17311,throng,TrcG,4,2,2,3,1,throng,1,4,653,7,8,3,16,471,24,330339,5
8399,impersonate,ImpRsNet,1,0,1,0,1,impersonate,4,9,749,12,3,3,33,84,18,255003,10
2645,career,kXIr,2,2,0,2,0,career,2,4,474,7,12,10,2305,30744,4976,71249453,5
7181,given,gIvxn,1,1,0,1,0,given,2,5,345,6,23,16,4851,62622,11220,125544161,6
16478,strife,strYf,5,5,0,0,5,strife,1,5,592,7,13,8,85,849,109,1156084,6
6640,footage,fUtIJ,1,1,0,0,1,footage,2,5,646,5,2,0,422,2594,1043,6907471,5
13664,private,prYvxt,1,1,0,1,0,private,2,6,422,8,3,2,3874,41819,7720,187887808,7
7435,groan,gron,15,13,2,5,10,groan,1,4,406,6,55,11,47,656,29,473578,5
6433,fine,fYn,28,25,3,20,8,fine,1,3,510,5,93,38,30502,32561,6526,71983414,4
2007,boil,bOl,15,12,3,14,1,boil,1,3,390,5,84,20,303,3947,223,2422548,4
11612,noisy,nOzi,3,2,1,2,1,noisy,2,4,463,5,7,3,257,1692,146,3722908,5
19067,window,wIndo,5,1,4,0,5,window,2,5,469,7,19,7,4386,26536,2511,102713291,6
7976,homicidal,hamxsYdL,1,0,1,0,1,homicidal,4,9,664,8,0,0,103,212,41,217742,8
9737,leaden,lEdN,5,4,1,3,2,leaden,2,5,386,6,38,9,5,194,5,116308,5
16444,strap,str@p,6,4,2,3,3,strap,1,5,552,6,21,8,263,1493,117,11414669,6
61,abortion,xborS|n,1,1,0,1,0,abortion,3,7,595,9,2,1,369,10896,4422,9397315,8
11482,neither,niDX,2,1,1,2,0,neither,2,4,441,5,11,5,3451,18480,2095,22640465,3
6272,favor,fevX,4,3,1,4,0,favor,2,4,390,6,34,6,3609,12796,2888,11868066,5
11176,mosey,mozi,6,6,0,5,1,mosey,2,4,374,5,39,19,36,116,16,67050,5
19295,zealot,zEl|t,1,1,0,1,0,zealot,2,5,454,7,3,2,10,140,38,340121,6
2828,cellular,sElyUlX,1,1,0,1,0,cellular,3,7,595,9,2,0,145,2160,221,19906433,8
6839,frown,frWn,3,3,0,3,0,frown,1,4,427,6,20,7,104,915,34,748276,5
16129,spirit,spIr|t,1,1,0,0,1,spirit,2,6,614,7,3,3,2517,16119,1937,36977078,6
5286,driver,drYvX,3,1,2,1,2,driver,2,5,559,7,18,10,2416,13273,2093,48465707,6
11551,nickel,nIkL,10,9,1,5,5,nickel,2,5,349,7,52,15,431,1343,190,6106046,6
19238,yank,y@Gk,12,9,3,10,2,yank,1,4,440,5,36,24,240,578,44,646395,5
14243,rarefy,r@rxfY,1,1,0,1,0,rarefy,3,6,544,6,4,1,0,3,0,5464,7
1659,beck,bEk,19,19,0,14,5,beck,1,3,306,5,135,34,195,2072,344,4291120,4
11167,mortgage,morgIJ,1,0,1,0,1,mortgage,2,6,499,9,5,3,301,6268,1437,74161273,7
14660,residential,rEzxdEnCL,1,0,1,1,0,residential,4,10,608,9,0,2,91,4802,272,31337029,8
8633,independent,IndxpEnd|nt,1,1,0,0,1,independent,4,11,585,12,2,1,477,21396,4328,64171624,12
6505,flap,fl@p,10,9,1,4,6,flap,1,4,395,5,30,17,135,1434,130,2725466,5
17176,testimonial,tEst|moniL,1,0,1,0,1,testimonial,5,11,644,12,1,1,32,146,20,1481582,12
15812,slim,slIm,11,10,1,3,8,slim,1,4,563,5,26,20,605,2868,328,9713890,5
17000,tart,tart,14,8,6,9,5,tart,1,4,322,5,37,30,122,1336,78,1363526,5
11395,nasty,n@sti,3,2,1,3,0,nasty,2,5,629,5,8,7,1151,3307,787,7439073,6
6151,facet,f@s|t,4,3,1,3,1,facet,2,5,504,6,11,11,13,528,46,1223168,6
