lower,ortho,phono,original,replace,delete_insert,pos_l50,pos_m50,Item,NumSylls,NumPhones,Duration,OrthUP,PhonND,OrthND,FreqSUBTLEX,FreqCOCA,FreqCOCAspok,FreqGoogle,PhonUP
eaten,eaten,itN,3,1,2,2,1,eaten,2,4,469,5,54,7,927,3526,325,3412832,5
real,real,riL,16,12,4,4,12,real,1,3,371,5,192,32,22583,83094,24403,297702750,4
halves,halves,h@vz,7,4,3,4,3,halves,1,4,500,6,18,8,56,1160,24,1070410,4
where,where,hwEr,7,4,3,4,3,where,1,3,332,6,115,6,93341,258804,73309,360478571,4
recession,recession,rIsES|n,1,0,1,0,1,recession,3,7,519,10,4,4,23,7666,3122,1637070,8
gawky,gawky,gcki,1,0,1,0,1,gawky,2,4,412,5,17,1,14,66,3,32782,4
complete,complete,kxmplit,1,0,1,0,1,complete,2,7,457,9,2,4,2636,23661,3034,149315377,8
dolly,dolly,dali,13,12,1,11,2,dolly,2,4,529,6,103,21,306,872,145,2268877,5
void,void,vOd,4,2,2,2,2,void,1,3,461,5,18,6,209,1839,206,32492676,4
trample,trample,tr@mpL,2,0,2,0,2,trample,2,7,544,8,8,4,41,142,22,527795,8
jabber,jabber,J@bX,3,2,1,2,1,jabber,2,4,489,6,9,4,25,41,3,2858295,4
inanity,inanity,In@n|ti,1,0,1,1,0,inanity,4,7,536,6,1,2,1,24,0,51255,6
insubstantial,insubstantial,Insxbst@nCL,1,1,0,1,0,insubstantial,4,12,785,13,1,0,18,175,6,123180,11
baby,baby,bebi,5,4,1,3,2,baby,2,4,372,5,55,17,25978,34012,8993,117716269,5
afoot,afoot,xfUt,1,0,1,1,0,afoot,2,4,448,4,2,1,52,303,46,367802,3
indoor,indoor,Indor,3,1,2,1,2,indoor,2,5,389,7,3,1,68,2603,146,13875813,6
oath,oath,oT,12,9,3,3,9,oath,1,2,352,5,43,19,504,1792,640,2684269,3
opt,opt,apt,2,2,0,2,0,opt,1,3,350,4,23,18,20,1906,239,10770523,4
commendation,commendation,kamxndeS|n,1,0,1,0,1,commendation,4,10,747,9,0,0,46,152,16,431651,7
filial,filial,fIliL,1,0,1,0,1,filial,3,6,529,5,0,0,15,205,1,218828,5
classical,classical,kl@sIkL,2,1,1,1,1,classical,3,8,516,10,1,0,224,5135,475,33959138,7
jig,jig,JIg,17,15,2,10,7,jig,1,3,375,4,47,24,87,537,19,1393707,4
blood,blood,bl^d,7,6,1,2,5,blood,1,4,369,6,20,8,9492,36787,5666,61356375,5
pap,pap,p@p,28,28,0,19,9,pap,1,3,279,4,73,43,66,646,57,1954530,4
pocket,pocket,pak|t,7,7,0,7,0,pocket,2,5,304,7,12,9,1821,10395,1017,38932393,6
bucket,bucket,b^k|t,1,1,0,1,0,bucket,2,5,337,7,11,6,511,2429,231,4415452,6
alteration,alteration,cltXeS|n,2,0,2,0,2,alteration,4,8,673,11,2,3,36,509,22,2847005,9
tincture,tincture,tIGkCX,1,0,1,0,1,tincture,2,6,422,9,4,1,4,104,0,318695,7
ear,ear,Ir,31,12,19,22,9,ear,1,2,278,4,113,50,1632,9860,923,14882612,3
pierce,pierce,pIrs,4,3,1,2,2,pierce,1,4,479,7,24,12,1313,2196,269,5947276,5
virtue,virtue,vRCu,2,1,1,0,2,virtue,2,4,521,7,1,1,263,3635,296,5148061,5
cap,cap,k@p,30,28,2,19,11,cap,1,3,409,4,117,47,956,8620,1254,25442468,4
parade,parade,pXed,2,0,2,1,1,parade,2,4,396,7,11,6,657,4138,884,8630290,5
garble,garble,garbL,4,2,2,2,2,garble,2,6,479,7,9,10,0,23,3,37309,7
rack,rack,r@k,29,26,3,18,11,rack,1,3,374,5,137,33,397,3636,148,14539676,4
clever,clever,klEvX,2,1,1,2,0,clever,2,5,393,7,13,8,1391,3083,402,4865717,6
sloppy,sloppy,slapi,1,0,1,0,1,sloppy,2,5,521,6,7,2,300,1044,155,1322519,6
postal,postal,postL,5,4,1,3,2,postal,2,6,495,7,13,4,96,1661,460,29860400,7
dollar,dollar,dalX,7,6,1,4,3,dollar,2,4,378,7,64,9,1410,11801,3362,35276362,5
urbane,urbane,Rben,2,1,1,1,1,urbane,2,4,578,7,7,5,7,157,6,195416,4
capture,capture,k@pCX,2,2,0,1,1,capture,2,5,599,8,14,3,540,6377,914,17823473,6
comedy,comedy,kamxdi,1,1,0,0,1,comedy,3,6,501,7,3,1,602,5740,1399,22994845,7
chuckle,chuckle,C^kL,5,4,1,3,2,chuckle,2,5,379,8,11,4,81,904,47,635926,6
lead,lead,lEd,31,23,8,20,11,lead,1,3,606,5,134,26,4246,38562,7348,68327739,4
liable,liable,lYxbL,3,1,2,3,0,liable,3,6,559,5,7,5,369,1252,239,12126852,5
nutty,nutty,n^ti,6,5,1,4,2,nutty,2,4,464,5,17,7,182,582,127,689340,4
feeble,feeble,fibL,2,2,0,2,0,feeble,2,5,384,6,28,3,86,667,25,747164,5
meadow,meadow,mEdo,4,3,1,0,4,meadow,2,4,401,7,23,3,116,1558,63,3549050,5
minute,minute,mIn|t,4,3,1,3,1,minute,2,5,494,7,4,2,19252,26841,8141,41062743,4
sky,sky,skY,6,5,1,3,3,sky,1,3,492,4,23,8,2285,19650,1325,27296223,4
pirate,pirate,pYrxt,2,2,0,2,0,pirate,2,5,375,7,11,3,375,1154,114,4309949,6
portable,portable,portxbL,2,1,1,2,0,portable,3,8,420,9,1,2,204,2791,182,34210546,9
teach,teach,tiC,13,11,2,6,7,teach,1,3,360,6,69,16,3715,14813,2299,19086011,4
berry,berry,bEri,13,10,3,7,6,berry,2,4,374,6,144,23,178,2860,420,7552546,5
oasis,oasis,oes|s,1,1,0,1,0,oasis,3,5,494,4,1,4,98,833,69,9273039,4
top,top,tap,21,17,4,16,5,top,1,3,319,4,75,37,6805,76822,13724,484225102,4
blade,blade,bled,9,8,1,3,6,blade,1,4,527,6,39,14,663,4132,113,11529676,5
amen,amen,emEn,1,0,1,1,0,amen,2,4,529,5,8,25,1325,801,250,2402870,4
corona,corona,kXonx,2,2,0,1,1,corona,3,5,499,7,12,4,58,599,33,2807296,6
mouth,mouth,mWT,7,6,1,5,2,mouth,1,3,539,6,22,11,5325,22510,2107,22881577,4
defeat,defeat,dxfit,1,1,0,1,0,defeat,2,5,438,7,4,3,580,5657,1293,6851628,6
folly,folly,fali,11,10,1,10,1,folly,2,4,459,5,81,17,74,749,52,1367992,5
supposed,supposed,sxpozd,1,0,1,0,1,supposed,2,6,677,9,2,2,12865,20498,6273,14497557,6
assure,assure,xSUr,6,4,2,4,2,assure,2,4,524,7,8,3,1021,2898,650,8118473,5
dissolve,dissolve,dIzalv,2,2,0,2,0,dissolve,2,6,540,9,4,3,95,1424,90,1307386,7
whelp,whelp,hwElp,3,2,1,1,2,whelp,1,4,238,6,29,3,24,13,0,71458,5
